OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Toronto Raptors,22500082,1610612737,Atlanta,Hawks,ATL,hawks,138:01,26,56,0.464,7,23,0.304,25,29,0.862,5,15,20,17,4,4,10,15,84,Starters,522.1,104.4,610.6,122.1,-88.5,-17.7,0.658,1.56,16.7,0.214,0.667,0.416,14.159,14.2,0.478,0.555,1.0,0.968,22.6,113.0,94.17,113.0,0.384,22025,1610612737,ATL,Atlanta Hawks,0022500082,2025-10-22,ATL vs. TOR,L,241,118,38,90,0.422,10,35,0.286,32,37,0.865,8,26,34,25,7,6,15,24,-20.0
Orlando Magic,22500090,1610612737,Atlanta,Hawks,ATL,hawks,155:12,28,63,0.444,3,19,0.158,20,25,0.8,2,21,23,18,8,4,9,14,79,Starters,549.5,109.9,519.4,103.9,30.1,6.0,0.634,1.63,18.7,0.255,0.642,0.46,15.842,15.8,0.529,0.57,1.0,1.0,20.4,102.0,85.0,101.0,0.566,22025,1610612737,ATL,Atlanta Hawks,0022500090,2025-10-24,ATL @ ORL,W,242,111,41,85,0.482,8,29,0.276,21,28,0.75,9,31,40,26,9,5,16,21,4.0
Oklahoma City Thunder,22500101,1610612737,Atlanta,Hawks,ATL,hawks,145:03,22,50,0.44,9,21,0.429,9,13,0.692,5,24,29,19,4,5,10,12,62,Starters,520.8,104.2,615.8,123.2,-95.0,-19.0,0.714,1.47,18.0,0.333,0.627,0.476,17.708,17.7,0.506,0.531,1.0,0.965,19.1,95.5,79.58,96.0,0.406,22025,1610612737,ATL,Atlanta Hawks,0022500101,2025-10-25,ATL vs. OKC,L,241,100,35,85,0.412,16,39,0.41,14,21,0.667,15,31,46,25,7,5,16,23,-17.0
Chicago Bulls,22500115,1610612737,Atlanta,Hawks,ATL,hawks,145:18,31,70,0.443,4,21,0.19,11,12,0.917,4,14,18,24,6,0,5,10,77,Starters,585.7,117.1,615.4,123.1,-29.7,-5.9,0.653,5.33,22.1,0.192,0.644,0.402,5.714,5.7,0.556,0.576,1.0,1.0,20.9,104.5,87.08,105.0,0.483,22025,1610612737,ATL,Atlanta Hawks,0022500115,2025-10-27,ATL @ CHI,L,241,123,49,98,0.5,11,32,0.344,14,20,0.7,8,28,36,32,8,1,6,17,-5.0
Brooklyn Nets,22500130,1610612737,Atlanta,Hawks,ATL,hawks,123:32,23,51,0.451,4,13,0.308,8,12,0.667,7,14,21,19,7,4,5,15,58,Starters,603.1,120.6,577.3,115.5,25.8,5.2,0.75,4.13,22.8,0.288,0.604,0.448,8.247,8.2,0.543,0.57,1.0,0.982,19.4,97.0,80.83,97.0,0.548,22025,1610612737,ATL,Atlanta Hawks,0022500130,2025-10-29,ATL @ BKN,W,240,117,44,93,0.473,13,33,0.394,16,22,0.727,13,31,44,33,11,8,8,26,5.0
Indiana Pacers,22500020,1610612737,Atlanta,Hawks,ATL,hawks,149:08,36,67,0.537,5,18,0.278,12,14,0.857,9,25,34,19,8,3,9,10,89,Starters,633.7,126.7,534.7,106.9,99.0,19.8,0.588,3.0,20.8,0.289,0.623,0.491,9.901,9.9,0.596,0.623,1.0,0.982,20.2,101.0,84.17,101.0,0.64,22025,1610612737,ATL,Atlanta Hawks,0022500020,2025-10-31,ATL @ IND,W,239,128,51,94,0.543,10,30,0.333,16,20,0.8,12,43,55,30,10,5,10,23,20.0
Cleveland Cavaliers,22500151,1610612737,Atlanta,Hawks,ATL,hawks,156:32,30,58,0.517,1,13,0.077,19,27,0.704,5,29,34,23,8,3,15,10,80,Starters,509.3,101.9,546.7,109.3,-37.4,-7.5,0.718,1.22,19.4,0.244,0.707,0.515,21.495,21.5,0.545,0.59,1.0,0.974,21.4,107.0,89.17,107.0,0.508,22025,1610612737,ATL,Atlanta Hawks,0022500151,2025-11-02,ATL @ CLE,L,240,109,39,77,0.506,6,23,0.261,25,35,0.714,8,38,46,28,9,3,22,21,-8.0
Orlando Magic,22500166,1610612737,Atlanta,Hawks,ATL,hawks,152:06,29,53,0.547,8,17,0.471,25,30,0.833,2,17,19,17,7,1,13,15,91,Starters,628.7,125.7,560.0,112.0,68.7,13.7,0.575,1.15,17.2,0.27,0.646,0.482,19.802,19.8,0.646,0.702,1.0,0.955,20.1,100.5,83.75,101.0,0.577,22025,1610612737,ATL,Atlanta Hawks,0022500166,2025-11-04,ATL vs. ORL,W,240,127,40,72,0.556,13,30,0.433,34,42,0.81,6,28,34,23,11,6,18,24,15.0
Toronto Raptors,22500030,1610612737,Atlanta,Hawks,ATL,hawks,157:34,27,70,0.386,8,26,0.308,19,20,0.95,11,18,29,18,5,6,11,11,81,Starters,480.2,96.0,539.6,107.9,-59.4,-11.9,0.727,1.26,15.9,0.413,0.691,0.542,18.812,18.8,0.391,0.457,1.0,0.953,20.2,101.0,84.17,101.0,0.435,22025,1610612737,ATL,Atlanta Hawks,0022500030,2025-11-07,ATL vs. TOR,L,241,97,33,96,0.344,9,38,0.237,22,23,0.957,19,35,54,24,8,7,15,19,-12.0
Los Angeles Lakers,22500185,1610612737,Atlanta,Hawks,ATL,hawks,165:12,31,63,0.492,11,23,0.478,3,3,1.0,4,22,26,35,9,3,8,8,76,Starters,622.4,124.5,515.2,103.0,107.3,21.5,0.771,3.36,25.3,0.239,0.681,0.462,11.224,11.2,0.602,0.623,1.0,0.991,19.7,98.5,82.08,98.0,0.586,22025,1610612737,ATL,Atlanta Hawks,0022500185,2025-11-08,ATL vs. LAL,W,240,122,48,93,0.516,16,39,0.41,10,11,0.909,7,30,37,37,13,6,11,14,20.0
Los Angeles Clippers,22500206,1610612737,Atlanta,Hawks,ATL,hawks,155:04,21,51,0.412,4,18,0.222,12,15,0.8,2,23,25,21,5,7,8,13,58,Starters,558.5,111.7,554.3,110.9,4.2,0.8,0.789,2.5,21.6,0.306,0.74,0.525,12.766,12.8,0.53,0.566,1.0,0.954,18.6,93.0,77.5,94.0,0.525,22025,1610612737,ATL,Atlanta Hawks,0022500206,2025-11-10,ATL @ LAC,W,239,105,38,84,0.452,13,34,0.382,16,20,0.8,7,34,41,30,7,8,11,22,3.0
Sacramento Kings,22500223,1610612737,Atlanta,Hawks,ATL,hawks,118:05,28,50,0.56,6,16,0.375,9,12,0.75,3,26,29,27,4,5,10,7,71,Starters,610.1,122.0,463.0,92.6,147.1,29.4,0.857,2.0,26.1,0.282,0.768,0.568,19.266,19.3,0.676,0.702,1.0,0.958,21.7,108.5,90.42,109.0,0.714,22025,1610612737,ATL,Atlanta Hawks,0022500223,2025-11-12,ATL @ SAC,W,240,133,49,85,0.576,17,40,0.425,18,22,0.818,7,38,45,42,14,6,19,20,33.0
Utah Jazz,22500227,1610612737,Atlanta,Hawks,ATL,hawks,151:26,31,57,0.544,14,25,0.56,16,22,0.727,8,28,36,26,12,5,12,11,92,Starters,611.1,122.2,564.8,113.0,46.3,9.3,0.783,2.0,23.2,0.234,0.66,0.46,16.667,16.7,0.644,0.662,1.0,0.975,21.6,108.0,90.0,108.0,0.548,22025,1610612737,ATL,Atlanta Hawks,0022500227,2025-11-13,ATL @ UTA,W,240,132,46,90,0.511,24,47,0.511,16,22,0.727,9,34,43,36,18,6,16,18,10.0
Phoenix Suns,22500239,1610612737,Atlanta,Hawks,ATL,hawks,174:39,38,65,0.585,11,30,0.367,17,20,0.85,7,20,27,32,10,2,14,11,104,Starters,607.8,121.6,598.0,119.6,9.8,2.0,0.778,2.06,23.6,0.256,0.585,0.438,16.667,16.7,0.612,0.649,1.0,0.973,20.4,102.0,85.0,102.0,0.541,22025,1610612737,ATL,Atlanta Hawks,0022500239,2025-11-16,ATL @ PHX,W,239,124,45,85,0.529,14,43,0.326,20,24,0.833,9,25,34,35,11,3,17,19,2.0
Detroit Pistons,22500251,1610612737,Atlanta,Hawks,ATL,hawks,183:04,34,69,0.493,11,32,0.344,12,13,0.923,4,20,24,23,7,4,14,16,91,Starters,560.0,112.0,588.2,117.6,-28.2,-5.6,0.738,1.63,21.7,0.255,0.707,0.466,19.0,19.0,0.569,0.598,1.0,0.982,20.2,101.0,84.17,100.0,0.43,22025,1610612737,ATL,Atlanta Hawks,0022500251,2025-11-18,ATL vs. DET,L,240,112,42,87,0.483,15,44,0.341,13,15,0.867,11,24,35,31,9,5,17,24,-8.0
San Antonio Spurs,22500267,1610612737,Atlanta,Hawks,ATL,hawks,151:59,35,60,0.583,12,23,0.522,8,11,0.727,3,26,29,19,4,5,13,15,90,Starters,617.6,123.5,655.3,131.1,-37.7,-7.5,0.612,1.88,21.4,0.195,0.735,0.489,15.686,15.7,0.678,0.679,1.0,0.991,20.5,102.5,85.42,102.0,0.456,22025,1610612737,ATL,Atlanta Hawks,0022500267,2025-11-20,ATL @ SAS,L,240,126,49,87,0.563,20,37,0.541,8,13,0.615,6,33,39,30,7,6,16,24,-9.0
New Orleans Pelicans,22500270,1610612737,Atlanta,Hawks,ATL,hawks,156:24,31,69,0.449,6,26,0.231,12,17,0.706,7,27,34,24,4,6,6,14,80,Starters,580.8,116.2,505.2,101.0,75.7,15.1,0.667,4.0,20.3,0.24,0.635,0.441,7.071,7.1,0.561,0.585,1.0,0.964,19.6,98.0,81.67,99.0,0.576,22025,1610612737,ATL,Atlanta Hawks,0022500270,2025-11-22,ATL @ NOP,W,241,115,42,90,0.467,17,46,0.37,14,19,0.737,10,32,42,28,6,7,7,20,17.0
Charlotte Hornets,22500276,1610612737,Atlanta,Hawks,ATL,hawks,170:12,39,79,0.494,9,25,0.36,11,14,0.786,9,22,31,27,4,2,4,11,98,Starters,594.7,118.9,578.9,115.8,15.8,3.2,0.711,3.56,22.7,0.286,0.638,0.458,9.474,9.5,0.555,0.576,1.0,0.963,19.0,95.0,79.17,95.0,0.515,22025,1610612737,ATL,Atlanta Hawks,0022500276,2025-11-23,ATL vs. CHA,W,242,113,45,91,0.495,11,31,0.355,12,16,0.75,10,27,37,32,6,5,7,21,3.0
Washington Wizards,22500057,1610612737,Atlanta,Hawks,ATL,hawks,146:06,24,57,0.421,9,27,0.333,8,10,0.8,10,21,31,19,3,5,12,12,65,Starters,548.5,109.7,640.8,128.2,-92.2,-18.4,0.767,1.74,21.3,0.358,0.78,0.543,18.447,18.4,0.532,0.554,1.0,0.975,20.6,103.0,85.83,103.0,0.416,22025,1610612737,ATL,Atlanta Hawks,0022500057,2025-11-25,ATL @ WAS,L,241,113,43,95,0.453,15,43,0.349,12,16,0.75,14,30,44,33,4,6,18,19,-19.0
Cleveland Cavaliers,22500069,1610612737,Atlanta,Hawks,ATL,hawks,170:37,37,68,0.544,12,28,0.429,15,22,0.682,5,28,33,27,8,3,10,11,101,Starters,607.5,121.5,574.8,115.0,32.7,6.5,0.75,2.57,23.2,0.245,0.686,0.47,13.084,13.1,0.615,0.635,1.0,0.966,21.4,107.0,89.17,107.0,0.537,22025,1610612737,ATL,Atlanta Hawks,0022500069,2025-11-28,ATL vs. CLE,W,242,130,48,91,0.527,16,43,0.372,18,26,0.692,6,32,38,36,11,5,12,14,7.0
