OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Charlotte Hornets,22500080,1610612751,Brooklyn,Nets,BKN,nets,111:49,21,49,0.429,4,16,0.25,19,26,0.731,5,12,17,14,1,1,4,10,65,Starters,551.9,110.4,641.5,128.3,-89.6,-17.9,0.641,1.47,17.1,0.268,0.591,0.41,16.038,16.0,0.523,0.568,1.0,0.992,21.2,106.0,88.33,106.0,0.391,22025,1610612751,BKN,Brooklyn Nets,0022500080,2025-10-22,BKN @ CHA,L,239,117,39,88,0.443,14,40,0.35,25,34,0.735,12,26,38,25,8,3,17,28,-19.0
Cleveland Cavaliers,22500091,1610612751,Brooklyn,Nets,BKN,nets,144:45,33,68,0.485,8,26,0.308,6,6,1.0,6,14,20,19,5,0,10,17,80,Starters,596.2,119.2,623.8,124.8,-27.7,-5.5,0.612,1.5,20.1,0.319,0.705,0.505,19.231,19.2,0.609,0.626,1.0,0.983,20.9,104.5,87.08,104.0,0.441,22025,1610612751,BKN,Brooklyn Nets,0022500091,2025-10-24,BKN vs. CLE,L,238,124,49,96,0.51,19,45,0.422,7,7,1.0,10,28,38,30,9,0,19,28,-7.0
San Antonio Spurs,22500105,1610612751,Brooklyn,Nets,BKN,nets,141:23,23,58,0.397,9,27,0.333,18,19,0.947,6,14,20,14,6,0,3,12,73,Starters,563.2,112.6,621.1,124.2,-57.9,-11.6,0.647,1.83,16.5,0.302,0.605,0.438,12.632,12.6,0.483,0.548,1.0,0.973,19.0,95.0,79.17,95.0,0.408,22025,1610612751,BKN,Brooklyn Nets,0022500105,2025-10-26,BKN @ SAS,L,240,107,34,87,0.391,16,50,0.32,23,24,0.958,11,23,34,22,9,0,11,30,-11.0
Houston Rockets,22500116,1610612751,Brooklyn,Nets,BKN,nets,124:12,24,46,0.522,8,16,0.5,4,8,0.5,6,9,15,12,2,0,8,13,60,Starters,586.0,117.2,744.6,148.9,-158.5,-31.7,0.537,1.57,16.7,0.392,0.605,0.483,15.054,15.1,0.564,0.58,1.0,0.955,18.5,92.5,77.08,93.0,0.339,22025,1610612751,BKN,Brooklyn Nets,0022500116,2025-10-27,BKN @ HOU,L,239,109,41,86,0.477,15,40,0.375,12,18,0.667,15,22,37,22,3,0,12,24,-28.0
Atlanta Hawks,22500130,1610612751,Brooklyn,Nets,BKN,nets,138:43,31,65,0.477,7,22,0.318,11,14,0.786,8,21,29,13,2,2,12,15,80,Starters,577.3,115.5,603.1,120.6,-25.8,-5.2,0.575,1.44,16.4,0.396,0.712,0.552,16.495,16.5,0.517,0.561,1.0,0.983,19.4,97.0,80.83,97.0,0.452,22025,1610612751,BKN,Brooklyn Nets,0022500130,2025-10-29,BKN vs. ATL,L,240,112,40,88,0.455,11,37,0.297,21,27,0.778,15,32,47,23,4,4,16,17,-5.0
Philadelphia 76ers,22500149,1610612751,Brooklyn,Nets,BKN,nets,161:15,31,69,0.449,5,26,0.192,15,20,0.75,8,24,32,16,5,4,11,10,82,Starters,514.7,102.9,632.4,126.5,-117.6,-23.5,0.538,1.11,14.7,0.37,0.646,0.5,18.627,18.6,0.467,0.512,1.0,0.975,20.4,102.0,85.0,102.0,0.4,22025,1610612751,BKN,Brooklyn Nets,0022500149,2025-11-02,BKN vs. PHI,L,239,105,39,91,0.429,7,39,0.179,20,26,0.769,13,31,44,21,10,4,18,15,-24.0
Minnesota Timberwolves,22500156,1610612751,Brooklyn,Nets,BKN,nets,146:10,28,64,0.438,8,25,0.32,14,22,0.636,10,13,23,18,5,1,6,13,78,Starters,567.7,113.5,637.8,127.6,-70.0,-14.0,0.694,2.08,17.5,0.361,0.561,0.441,12.5,12.5,0.472,0.516,1.0,1.0,19.4,97.0,80.83,96.0,0.376,22025,1610612751,BKN,Brooklyn Nets,0022500156,2025-11-03,BKN vs. MIN,L,243,109,36,89,0.404,12,40,0.3,25,38,0.658,18,22,40,25,9,4,12,24,-16.0
Indiana Pacers,22500173,1610612751,Brooklyn,Nets,BKN,nets,139:18,26,52,0.5,7,19,0.368,23,29,0.793,6,20,26,17,6,2,9,13,82,Starters,560.0,112.0,509.9,102.0,50.1,10.0,0.722,1.86,18.6,0.255,0.607,0.44,14.0,14.0,0.5,0.552,1.0,0.982,20.1,100.5,83.75,100.0,0.541,22025,1610612751,BKN,Brooklyn Nets,0022500173,2025-11-05,BKN @ IND,W,239,112,36,86,0.419,14,40,0.35,26,35,0.743,10,35,45,26,9,5,12,17,9.0
Detroit Pistons,22500031,1610612751,Brooklyn,Nets,BKN,nets,137:59,23,49,0.469,12,25,0.48,17,19,0.895,5,12,17,16,4,1,9,13,75,Starters,540.4,108.1,625.0,125.0,-84.6,-16.9,0.765,1.3,19.1,0.245,0.61,0.411,20.202,20.2,0.531,0.585,1.0,0.991,19.9,99.5,82.92,99.0,0.343,22025,1610612751,BKN,Brooklyn Nets,0022500031,2025-11-07,BKN vs. DET,L,240,107,34,80,0.425,17,46,0.37,22,26,0.846,8,22,30,26,5,1,19,24,-18.0
New York Knicks,22500192,1610612751,Brooklyn,Nets,BKN,nets,113:31,17,39,0.436,6,22,0.273,11,14,0.786,5,10,15,14,1,5,8,10,51,Starters,510.4,102.1,705.3,141.1,-194.8,-39.0,0.636,1.11,15.6,0.353,0.558,0.447,19.792,19.8,0.488,0.529,1.0,0.974,19.1,95.5,79.58,96.0,0.316,22025,1610612751,BKN,Brooklyn Nets,0022500192,2025-11-09,BKN @ NYK,L,239,98,33,82,0.402,14,45,0.311,18,24,0.75,15,23,38,21,5,8,19,25,-36.0
