OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Brooklyn Nets,0022500080,1610612766,Charlotte,Hornets,CHA,hornets,147:10,30,57,0.526,12,27,0.444,12,19,0.632,8,21,29,21,2,3,11,15,84,Starters,641.5,128.3,551.9,110.4,89.6,17.9,0.688,1.94,21.2,0.409,0.732,0.59,16.038,16.0,0.628,0.651,1.0,0.976,21.2,106.0,88.33,106.0,0.609,22025,1610612766,CHA,Charlotte Hornets,0022500080,2025-10-22,CHA vs. BKN,W,241,136,48,90,0.533,17,36,0.472,23,33,0.697,14,36,50,33,5,5,16,25,19.0
Philadelphia 76ers,0022500102,1610612766,Charlotte,Hornets,CHA,hornets,133:53,30,62,0.484,10,27,0.37,14,17,0.824,8,20,28,24,5,2,9,15,84,Starters,587.4,117.5,601.0,120.2,-13.6,-2.7,0.698,1.76,19.9,0.34,0.673,0.505,16.505,16.5,0.573,0.597,1.0,0.967,20.7,103.5,86.25,103.0,0.478,22025,1610612766,CHA,Charlotte Hornets,0022500102,2025-10-25,CHA @ PHI,L,240,121,43,89,0.483,16,42,0.381,19,28,0.679,13,32,45,30,6,3,16,26,-4.0
Washington Wizards,0022500109,1610612766,Charlotte,Hornets,CHA,hornets,156:43,35,66,0.53,11,29,0.379,23,26,0.885,6,24,30,22,7,0,10,9,104,Starters,637.6,127.5,523.1,104.6,114.5,22.9,0.638,2.5,19.6,0.292,0.811,0.564,11.009,11.0,0.592,0.644,1.0,0.967,21.7,108.5,90.42,109.0,0.638,22025,1610612766,CHA,Charlotte Hornets,0022500109,2025-10-26,CHA @ WAS,W,239,139,47,92,0.511,15,38,0.395,30,36,0.833,11,41,52,30,12,4,11,16,26.0
Miami Heat,0022500124,1610612766,Charlotte,Hornets,CHA,hornets,144:31,31,65,0.477,13,32,0.406,9,11,0.818,4,22,26,20,6,2,12,11,84,Starters,546.7,109.3,666.7,133.3,-119.9,-24.0,0.65,1.44,17.8,0.269,0.783,0.51,16.822,16.8,0.544,0.584,1.0,0.983,21.5,107.5,89.58,107.0,0.405,22025,1610612766,CHA,Charlotte Hornets,0022500124,2025-10-28,CHA @ MIA,L,239,117,40,90,0.444,18,45,0.4,19,23,0.826,9,32,41,26,9,3,17,18,-27.0
Orlando Magic,0022500138,1610612766,Charlotte,Hornets,CHA,hornets,155:12,27,54,0.5,7,21,0.333,2,2,1.0,5,21,26,15,4,4,15,12,63,Starters,557.3,111.5,640.6,128.1,-83.3,-16.7,0.571,1.14,17.8,0.364,0.652,0.511,21.875,21.9,0.572,0.597,1.0,0.982,19.2,96.0,80.0,96.0,0.428,22025,1610612766,CHA,Charlotte Hornets,0022500138,2025-10-30,CHA vs. ORL,L,240,107,42,83,0.506,11,30,0.367,12,15,0.8,12,29,41,24,5,6,21,22,-16.0
Minnesota Timberwolves,0022500143,1610612766,Charlotte,Hornets,CHA,hornets,150:31,22,55,0.4,9,30,0.3,15,17,0.882,4,27,31,16,3,4,10,9,68,Starters,519.8,104.0,610.0,122.0,-90.2,-18.0,0.676,1.64,16.8,0.264,0.902,0.543,13.861,13.9,0.471,0.536,1.0,0.991,20.1,100.5,83.75,101.0,0.42,22025,1610612766,CHA,Charlotte Hornets,0022500143,2025-11-01,CHA vs. MIN,L,240,105,34,86,0.395,13,45,0.289,24,27,0.889,10,35,45,23,4,4,14,16,-17.0
Utah Jazz,0022500150,1610612766,Charlotte,Hornets,CHA,hornets,148:50,27,57,0.474,11,28,0.393,15,15,1.0,1,22,23,26,5,4,7,11,80,Starters,623.8,124.8,509.9,102.0,113.9,22.8,0.721,2.07,21.4,0.304,0.755,0.545,14.851,14.9,0.591,0.645,1.0,0.974,20.2,101.0,84.17,101.0,0.606,22025,1610612766,CHA,Charlotte Hornets,0022500150,2025-11-02,CHA vs. UTA,W,239,126,43,88,0.489,18,43,0.419,22,22,1.0,9,37,46,31,6,6,14,25,23.0
New Orleans Pelicans,0022500168,1610612766,Charlotte,Hornets,CHA,hornets,160:30,25,57,0.439,9,29,0.31,16,20,0.8,9,27,36,14,4,5,12,14,75,Starters,560.0,112.0,574.3,114.9,-14.3,-2.9,0.513,1.0,14.5,0.4,0.712,0.567,20.0,20.0,0.555,0.594,1.0,0.966,20.1,100.5,83.75,100.0,0.478,22025,1610612766,CHA,Charlotte Hornets,0022500168,2025-11-04,CHA @ NOP,L,239,112,39,82,0.476,13,38,0.342,21,28,0.75,15,34,49,20,8,6,19,23,-4.0
Miami Heat,0022500033,1610612766,Charlotte,Hornets,CHA,hornets,176:36,29,78,0.372,8,32,0.25,18,18,1.0,9,27,36,18,2,6,16,13,84,Starters,519.2,103.8,588.8,117.8,-69.6,-13.9,0.595,1.22,14.8,0.371,0.816,0.568,17.308,17.3,0.433,0.496,1.0,1.0,21.1,105.5,87.92,104.0,0.409,22025,1610612766,CHA,Charlotte Hornets,0022500033,2025-11-07,CHA @ MIA,L,240,108,37,97,0.381,10,39,0.256,24,27,0.889,19,38,57,22,4,9,18,18,-18.0
Los Angeles Lakers,0022500198,1610612766,Charlotte,Hornets,CHA,hornets,147:29,26,48,0.542,12,24,0.5,18,20,0.9,7,16,23,18,3,2,15,15,82,Starters,590.4,118.1,636.8,127.4,-46.4,-9.3,0.757,1.22,21.2,0.306,0.646,0.5,24.468,24.5,0.641,0.688,1.0,0.99,18.9,94.5,78.75,94.0,0.472,22025,1610612766,CHA,Charlotte Hornets,0022500198,2025-11-10,CHA vs. LAL,L,241,111,37,71,0.521,17,36,0.472,20,22,0.909,9,28,37,28,6,6,22,25,-10.0
