OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Detroit Pistons,22500084,1610612741,Chicago,Bulls,CHI,bulls,149:18,28,52,0.538,6,12,0.5,18,22,0.818,8,23,31,26,4,4,14,18,80,Starters,542.5,108.5,528.6,105.7,13.9,2.8,0.744,1.61,19.3,0.294,0.724,0.523,16.981,17.0,0.511,0.569,1.0,0.975,21.1,105.5,87.92,106.0,0.53,22025,1610612741,CHI,Chicago Bulls,0022500084,2025-10-22,CHI vs. DET,W,242,115,39,87,0.448,11,30,0.367,26,32,0.813,12,38,50,29,6,8,17,23,4.0
Orlando Magic,22500100,1610612741,Chicago,Bulls,CHI,bulls,126:21,16,43,0.372,4,13,0.308,16,20,0.8,6,22,28,13,7,2,12,18,52,Starters,514.0,102.8,453.7,90.7,60.3,12.1,0.667,1.3,18.2,0.208,0.667,0.457,18.692,18.7,0.53,0.574,1.0,0.974,21.5,107.5,89.58,107.0,0.604,22025,1610612741,CHI,Chicago Bulls,0022500100,2025-10-25,CHI @ ORL,W,240,110,39,83,0.47,10,27,0.37,22,29,0.759,9,37,46,26,13,2,18,26,12.0
Atlanta Hawks,22500115,1610612741,Chicago,Bulls,CHI,bulls,154:03,29,57,0.509,8,24,0.333,9,12,0.75,8,34,42,27,5,2,10,9,75,Starters,615.4,123.1,585.7,117.1,29.7,5.9,0.688,1.83,21.6,0.356,0.808,0.598,17.308,17.3,0.609,0.632,1.0,0.958,20.9,104.5,87.08,104.0,0.517,22025,1610612741,CHI,Chicago Bulls,0022500115,2025-10-27,CHI vs. ATL,W,241,128,48,92,0.522,16,43,0.372,16,21,0.762,12,39,51,33,5,4,14,20,5.0
Sacramento Kings,22500132,1610612741,Chicago,Bulls,CHI,bulls,155:44,32,59,0.542,8,16,0.5,8,10,0.8,8,24,32,28,6,2,13,10,80,Starters,630.0,126.0,559.4,111.9,70.6,14.1,0.694,2.13,22.8,0.333,0.857,0.586,16.0,16.0,0.615,0.637,1.0,0.983,20.1,100.5,83.75,100.0,0.535,22025,1610612741,CHI,Chicago Bulls,0022500132,2025-10-29,CHI vs. SAC,W,241,126,49,91,0.538,14,32,0.438,14,18,0.778,12,34,46,34,6,2,15,20,13.0
New York Knicks,22500023,1610612741,Chicago,Bulls,CHI,bulls,138:41,27,55,0.491,11,23,0.478,17,23,0.739,3,18,21,15,3,2,2,13,82,Starters,681.8,136.4,637.8,127.6,44.1,8.8,0.689,3.44,21.8,0.293,0.7,0.516,9.091,9.1,0.637,0.679,1.0,0.964,19.7,98.5,82.08,99.0,0.576,22025,1610612741,CHI,Chicago Bulls,0022500023,2025-10-31,CHI vs. NYK,W,239,135,45,84,0.536,17,37,0.459,28,35,0.8,6,35,41,31,8,6,7,22,10.0
New York Knicks,22500153,1610612741,Chicago,Bulls,CHI,bulls,157:29,33,64,0.516,11,21,0.524,6,6,1.0,9,27,36,21,4,1,13,11,83,Starters,574.3,114.9,633.7,126.7,-59.4,-11.9,0.622,2.0,19.7,0.26,0.673,0.471,13.861,13.9,0.575,0.593,1.0,0.982,20.2,101.0,84.17,101.0,0.448,22025,1610612741,CHI,Chicago Bulls,0022500153,2025-11-02,CHI @ NYK,L,239,116,45,93,0.484,17,40,0.425,9,11,0.818,12,34,46,28,7,3,14,20,-12.0
Philadelphia 76ers,22500167,1610612741,Chicago,Bulls,CHI,bulls,158:40,31,61,0.508,8,19,0.421,12,14,0.857,7,29,36,20,8,4,10,10,82,Starters,553.9,110.8,549.5,109.9,4.4,0.9,0.619,1.44,17.9,0.367,0.661,0.524,17.647,17.6,0.545,0.578,1.0,0.983,20.3,101.5,84.58,102.0,0.548,22025,1610612741,CHI,Chicago Bulls,0022500167,2025-11-04,CHI vs. PHI,W,240,113,42,89,0.472,13,34,0.382,16,20,0.8,12,36,48,26,11,9,18,19,2.0
Milwaukee Bucks,22500035,1610612741,Chicago,Bulls,CHI,bulls,147:29,30,56,0.536,6,18,0.333,9,12,0.75,6,24,30,22,6,2,9,11,75,Starters,518.9,103.8,594.3,118.9,-75.5,-15.1,0.773,2.43,23.0,0.188,0.684,0.457,13.208,13.2,0.544,0.567,1.0,0.982,21.2,106.0,88.33,106.0,0.472,22025,1610612741,CHI,Chicago Bulls,0022500035,2025-11-07,CHI @ MIL,L,240,110,44,90,0.489,10,33,0.303,12,16,0.75,8,37,45,34,9,3,14,19,-16.0
Cleveland Cavaliers,22500186,1610612741,Chicago,Bulls,CHI,bulls,142:27,18,51,0.353,3,15,0.2,25,27,0.926,5,23,28,17,5,1,10,17,64,Starters,592.2,118.4,627.5,125.5,-35.2,-7.0,0.711,1.93,19.0,0.255,0.788,0.535,13.592,13.6,0.53,0.611,1.0,0.983,20.5,102.5,85.42,103.0,0.505,22025,1610612741,CHI,Chicago Bulls,0022500186,2025-11-08,CHI @ CLE,L,241,122,38,84,0.452,13,29,0.448,33,36,0.917,10,39,49,27,8,4,13,25,-6.0
San Antonio Spurs,22500202,1610612741,Chicago,Bulls,CHI,bulls,140:52,25,57,0.439,9,22,0.409,12,16,0.75,6,21,27,21,3,3,6,16,71,Starters,557.1,111.4,581.7,116.3,-24.6,-4.9,0.707,2.23,19.6,0.278,0.795,0.51,12.381,12.4,0.527,0.567,1.0,0.975,20.9,104.5,87.08,105.0,0.457,22025,1610612741,CHI,Chicago Bulls,0022500202,2025-11-10,CHI vs. SAS,L,239,117,41,93,0.441,16,38,0.421,19,23,0.826,11,34,45,29,10,4,12,20,-4.0
