OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Chicago Bulls,0022500084,1610612765,Detroit,Pistons,DET,pistons,153:49,25,63,0.397,2,14,0.143,9,16,0.563,8,23,31,22,4,3,6,18,61,Starters,528.6,105.7,542.5,108.5,-13.9,-2.8,0.674,2.9,19.3,0.276,0.706,0.477,9.524,9.5,0.479,0.512,1.0,0.983,21.1,105.5,87.92,105.0,0.47,22025,1610612765,DET,Detroit Pistons,0022500084,2025-10-22,DET @ CHI,L,239,111,43,97,0.443,7,24,0.292,18,26,0.692,13,33,46,29,8,10,10,29,-4.0
Houston Rockets,0022500093,1610612765,Detroit,Pistons,DET,pistons,153:56,28,57,0.491,9,23,0.391,7,10,0.7,7,19,26,19,3,7,11,15,72,Starters,575.0,115.0,555.0,111.0,20.0,4.0,0.619,1.44,17.8,0.392,0.649,0.528,18.0,18.0,0.556,0.574,1.0,0.975,20.0,100.0,83.33,100.0,0.532,22025,1610612765,DET,Detroit Pistons,0022500093,2025-10-24,DET @ HOU,W,239,115,42,90,0.467,16,39,0.41,15,23,0.652,15,33,48,26,6,11,17,31,4.0
Boston Celtics,0022500106,1610612765,Detroit,Pistons,DET,pistons,167:04,30,67,0.448,6,21,0.286,30,33,0.909,15,30,45,17,3,3,12,17,96,Starters,601.0,120.2,570.7,114.1,30.3,6.1,0.564,1.38,14.9,0.474,0.667,0.57,16.162,16.2,0.468,0.547,1.0,0.984,19.8,99.0,82.5,99.0,0.554,22025,1610612765,DET,Detroit Pistons,0022500106,2025-10-26,DET vs. BOS,W,239,119,39,93,0.419,9,34,0.265,32,36,0.889,19,36,55,22,7,5,16,24,6.0
Cleveland Cavaliers,0022500007,1610612765,Detroit,Pistons,DET,pistons,108:15,14,41,0.341,5,18,0.278,11,15,0.733,4,14,18,8,2,3,12,17,44,Starters,448.1,89.6,557.7,111.5,-109.6,-21.9,0.606,0.77,13.3,0.393,0.66,0.514,24.528,24.5,0.443,0.48,1.0,0.954,21.0,105.0,87.5,106.0,0.345,22025,1610612765,DET,Detroit Pistons,0022500007,2025-10-27,DET vs. CLE,L,240,95,33,87,0.379,11,34,0.324,18,27,0.667,16,32,48,20,12,4,25,29,-21.0
Orlando Magic,0022500129,1610612765,Detroit,Pistons,DET,pistons,157:20,33,67,0.493,7,20,0.35,28,31,0.903,13,24,37,23,6,6,10,15,101,Starters,681.8,136.4,574.3,114.9,107.6,21.5,0.63,2.07,19.5,0.429,0.614,0.528,14.141,14.1,0.565,0.625,1.0,0.992,20.0,100.0,83.33,99.0,0.61,22025,1610612765,DET,Detroit Pistons,0022500129,2025-10-29,DET vs. ORL,W,240,135,46,93,0.495,13,32,0.406,30,34,0.882,14,32,46,29,11,8,13,28,19.0
Dallas Mavericks,0022500147,1610612765,Detroit,Pistons,DET,pistons,164:18,35,67,0.522,7,17,0.412,21,30,0.7,9,26,35,23,6,1,4,13,98,Starters,604.0,120.8,539.2,107.8,64.7,12.9,0.644,3.63,20.0,0.278,0.755,0.505,7.921,7.9,0.544,0.576,1.0,0.966,20.3,101.5,84.58,101.0,0.574,22025,1610612765,DET,Detroit Pistons,0022500147,2025-11-01,DAL @ DET,W,239,122,45,91,0.495,9,24,0.375,23,34,0.676,14,33,47,29,10,4,7,22,12.0
Memphis Grizzlies,0022500161,1610612765,Detroit,Pistons,DET,pistons,173:33,34,66,0.515,8,24,0.333,17,26,0.654,9,27,36,17,5,8,9,13,93,Starters,575.8,115.2,540.8,108.2,34.9,7.0,0.548,1.64,17.0,0.326,0.611,0.48,14.141,14.1,0.566,0.595,1.0,0.964,19.7,98.5,82.08,99.0,0.555,22025,1610612765,DET,Detroit Pistons,0022500161,2025-11-03,DET @ MEM,W,240,114,42,83,0.506,10,31,0.323,20,29,0.69,10,33,43,23,11,9,12,21,8.0
Utah Jazz,0022500172,1610612765,Detroit,Pistons,DET,pistons,162:22,37,71,0.521,8,21,0.381,8,14,0.571,11,29,40,18,2,5,9,13,90,Starters,570.0,114.0,509.9,102.0,60.1,12.0,0.533,1.85,17.1,0.308,0.702,0.514,13.0,13.0,0.555,0.566,1.0,0.983,20.1,100.5,83.75,100.0,0.543,22025,1610612765,DET,Detroit Pistons,0022500172,2025-11-05,DET vs. UTA,W,239,114,45,91,0.495,11,30,0.367,13,22,0.591,13,39,52,24,5,6,13,23,11.0
Brooklyn Nets,0022500031,1610612765,Detroit,Pistons,DET,pistons,136:44,36,54,0.667,3,10,0.3,14,14,1.0,2,20,22,23,9,1,8,13,89,Starters,625.0,125.0,540.4,108.1,84.6,16.9,0.653,2.46,21.9,0.39,0.755,0.589,13.0,13.0,0.612,0.636,1.0,0.974,19.9,99.5,82.92,100.0,0.657,22025,1610612765,DET,Detroit Pistons,0022500031,2025-11-07,DET @ BKN,W,240,125,49,85,0.576,6,26,0.231,21,30,0.7,11,35,46,32,14,1,13,19,18.0
Philadelphia 76ers,0022500195,1610612765,Detroit,Pistons,DET,pistons,175:05,31,67,0.463,8,21,0.381,17,24,0.708,6,24,30,18,11,2,11,17,87,Starters,555.0,111.0,545.5,109.1,9.5,1.9,0.59,1.44,17.0,0.255,0.627,0.449,16.0,16.0,0.555,0.588,1.0,0.964,19.9,99.5,82.92,100.0,0.522,22025,1610612765,DET,Detroit Pistons,0022500195,2025-11-09,DET @ PHI,W,240,111,39,82,0.476,13,30,0.433,20,28,0.714,9,28,37,23,12,5,15,21,3.0
