OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Oklahoma City Thunder,0022500005,1610612754,Indiana,Pacers,IND,pacers,141:20,23,58,0.397,7,19,0.368,24,33,0.727,7,28,35,9,1,0,10,19,77,Starters,540.0,108.0,573.2,114.6,-33.2,-6.6,0.457,1.5,13.0,0.246,0.821,0.504,11.2,11.2,0.5,0.551,1.0,0.971,20.52,102.62,85.52,125.0,0.447,22025,1610612754,IND,Indiana Pacers,0022500005,2025-10-23,IND vs. OKC,L,290,135,46,105,0.438,13,43,0.302,30,40,0.75,11,44,55,21,6,4,14,37,-6.0
Memphis Grizzlies,0022500103,1610612754,Indiana,Pacers,IND,pacers,128:46,24,46,0.522,9,18,0.5,10,13,0.769,5,14,19,14,1,3,6,9,67,Starters,504.9,101.0,633.7,126.7,-128.8,-25.8,0.694,1.92,18.0,0.232,0.673,0.45,12.745,12.7,0.483,0.52,1.0,0.982,20.3,101.5,84.58,102.0,0.388,22025,1610612754,IND,Indiana Pacers,0022500103,2025-10-25,IND @ MEM,L,241,103,36,89,0.404,14,40,0.35,17,23,0.739,11,33,44,25,2,5,13,21,-25.0
Minnesota Timberwolves,0022500110,1610612754,Indiana,Pacers,IND,pacers,134:37,23,59,0.39,9,27,0.333,13,21,0.619,7,20,27,14,3,0,8,17,68,Starters,544.6,108.9,558.8,111.8,-14.3,-2.9,0.615,1.41,16.6,0.345,0.673,0.5,16.832,16.8,0.505,0.535,1.0,0.983,20.3,101.5,84.58,101.0,0.465,22025,1610612754,IND,Indiana Pacers,0022500110,2025-10-26,IND @ MIN,L,240,110,39,91,0.429,14,40,0.35,18,27,0.667,16,33,49,24,7,5,16,27,-4.0
Dallas Mavericks,0022500133,1610612754,Indiana,Pacers,IND,pacers,145:54,20,70,0.286,7,28,0.25,15,23,0.652,11,21,32,11,5,2,10,16,62,Starters,495.3,99.1,509.5,101.9,-14.2,-2.8,0.541,1.43,13.1,0.365,0.778,0.521,13.208,13.2,0.41,0.444,1.0,0.97,21.1,105.5,87.92,106.0,0.393,22025,1610612754,IND,Indiana Pacers,0022500133,2025-10-29,IND @ DAL,L,241,105,37,106,0.349,13,45,0.289,18,28,0.643,19,33,52,20,8,7,12,29,-2.0
Atlanta Hawks,0022500020,1610612754,Indiana,Pacers,IND,pacers,132:10,22,54,0.407,10,24,0.417,17,25,0.68,7,18,25,15,2,1,6,8,71,Starters,534.7,106.9,633.7,126.7,-99.0,-19.8,0.657,1.92,15.3,0.377,0.711,0.509,11.881,11.9,0.419,0.476,1.0,0.992,20.2,101.0,84.17,101.0,0.36,22025,1610612754,IND,Indiana Pacers,0022500020,2025-10-31,IND vs. ATL,L,241,108,35,99,0.354,13,47,0.277,25,33,0.758,18,31,49,23,6,3,12,16,-20.0
Golden State Warriors,0022500144,1610612754,Indiana,Pacers,IND,pacers,155:12,36,72,0.5,9,25,0.36,18,20,0.9,9,25,34,20,5,2,8,15,99,Starters,558.8,111.8,539.6,107.9,19.2,3.8,0.6,2.0,17.1,0.308,0.736,0.524,11.765,11.8,0.506,0.563,1.0,0.983,20.3,101.5,84.58,102.0,0.556,22025,1610612754,IND,Indiana Pacers,0022500144,2025-11-01,IND vs. GSW,W,240,114,40,89,0.449,10,33,0.303,24,28,0.857,11,36,47,24,7,3,12,19,5.0
Milwaukee Bucks,0022500157,1610612754,Indiana,Pacers,IND,pacers,158:54,32,71,0.451,5,22,0.227,26,35,0.743,10,22,32,19,6,2,8,15,95,Starters,552.9,110.6,568.0,113.6,-15.1,-3.0,0.615,2.0,16.7,0.327,0.694,0.5,11.538,11.5,0.478,0.539,1.0,0.975,20.7,103.5,86.25,104.0,0.511,22025,1610612754,IND,Indiana Pacers,0022500157,2025-11-03,IND vs. MIL,L,241,115,39,90,0.433,8,33,0.242,29,38,0.763,14,31,45,24,8,4,11,24,-2.0
Brooklyn Nets,0022500173,1610612754,Indiana,Pacers,IND,pacers,155:48,30,68,0.441,7,20,0.35,3,8,0.375,6,24,30,22,4,2,14,16,70,Starters,509.9,102.0,560.0,112.0,-50.1,-10.0,0.707,1.61,18.8,0.393,0.745,0.56,17.822,17.8,0.48,0.492,1.0,0.96,20.1,100.5,83.75,101.0,0.459,22025,1610612754,IND,Indiana Pacers,0022500173,2025-11-05,IND vs. BKN,L,239,103,41,99,0.414,13,36,0.361,8,13,0.615,16,40,56,29,6,5,16,23,-9.0
Denver Nuggets,0022500189,1610612754,Indiana,Pacers,IND,pacers,132:40,23,58,0.397,6,20,0.3,21,26,0.808,5,13,18,14,7,0,7,10,73,Starters,476.2,95.2,573.5,114.7,-97.3,-19.5,0.606,1.82,13.8,0.313,0.653,0.46,10.476,10.5,0.398,0.463,1.0,0.944,20.7,103.5,86.25,105.0,0.372,22025,1610612754,IND,Indiana Pacers,0022500189,2025-11-08,IND @ DEN,L,240,100,33,93,0.355,8,36,0.222,26,34,0.765,15,28,43,20,9,6,11,23,-17.0
Golden State Warriors,0022500196,1610612754,Indiana,Pacers,IND,pacers,130:50,21,60,0.35,8,27,0.296,3,5,0.6,6,19,25,12,2,5,11,16,53,Starters,415.0,83.0,564.4,112.9,-149.4,-29.9,0.656,0.95,14.8,0.328,0.719,0.512,22.0,22.0,0.399,0.42,1.0,0.975,20.1,100.5,83.75,100.0,0.309,22025,1610612754,IND,Indiana Pacers,0022500196,2025-11-09,IND @ GSW,L,240,83,32,94,0.34,11,39,0.282,8,11,0.727,14,39,53,21,7,6,20,25,-31.0
Utah Jazz,0022500211,1610612754,Indiana,Pacers,IND,pacers,137:52,29,55,0.527,9,21,0.429,16,16,1.0,8,8,16,23,2,2,3,16,83,Starters,627.5,125.5,737.9,147.6,-110.4,-22.1,0.63,3.63,19.3,0.364,0.535,0.439,7.843,7.8,0.515,0.573,1.0,0.992,20.5,102.5,85.42,102.0,0.415,22025,1610612754,IND,Indiana Pacers,0022500211,2025-11-11,IND @ UTA,L,240,128,46,99,0.465,10,37,0.27,26,29,0.897,15,20,35,29,6,6,8,26,-24.0
Phoenix Suns,0022500226,1610612754,Indiana,Pacers,IND,pacers,122:59,21,49,0.429,2,10,0.2,22,24,0.917,9,11,20,11,1,0,6,12,66,Starters,500.0,100.0,678.6,135.7,-178.6,-35.7,0.625,1.67,14.4,0.344,0.718,0.49,12.245,12.2,0.403,0.486,1.0,0.95,19.6,98.0,81.67,98.0,0.344,22025,1610612754,IND,Indiana Pacers,0022500226,2025-11-13,IND @ PHX,L,238,98,32,88,0.364,7,25,0.28,27,29,0.931,16,25,41,20,4,3,12,22,-35.0
Toronto Raptors,0022500230,1610612754,Indiana,Pacers,IND,pacers,145:32,24,49,0.49,10,24,0.417,14,17,0.824,4,19,23,11,4,1,9,13,72,Starters,513.9,102.8,602.8,120.6,-88.9,-17.8,0.595,1.38,15.7,0.212,0.714,0.455,14.815,14.8,0.511,0.561,1.0,0.966,21.5,107.5,89.58,108.0,0.389,22025,1610612754,IND,Indiana Pacers,0022500230,2025-11-15,IND vs. TOR,L,240,111,37,87,0.425,15,43,0.349,22,27,0.815,7,33,40,22,5,3,15,25,-18.0
Detroit Pistons,0022500242,1610612754,Indiana,Pacers,IND,pacers,145:37,27,54,0.5,8,22,0.364,31,43,0.721,13,11,24,11,6,3,16,16,93,Starters,543.7,108.7,616.5,123.3,-72.8,-14.6,0.543,0.9,13.0,0.436,0.6,0.51,20.388,20.4,0.47,0.539,1.0,0.976,20.6,103.0,85.83,103.0,0.373,22025,1610612754,IND,Indiana Pacers,0022500242,2025-11-17,IND @ DET,L,239,112,35,84,0.417,9,31,0.29,33,45,0.733,20,23,43,19,8,5,21,26,-15.0
Charlotte Hornets,0022500256,1610612754,Indiana,Pacers,IND,pacers,152:18,28,57,0.491,6,22,0.273,17,20,0.85,9,17,26,19,4,5,11,12,79,Starters,635.0,127.0,590.0,118.0,45.0,9.0,0.696,2.0,22.2,0.286,0.523,0.43,16.0,16.0,0.635,0.668,1.0,0.973,20.0,100.0,83.33,100.0,0.573,22025,1610612754,IND,Indiana Pacers,0022500256,2025-11-19,IND vs. CHA,W,240,127,46,85,0.541,16,38,0.421,19,23,0.826,10,33,43,32,5,8,15,22,9.0
Cleveland Cavaliers,0022500048,1610612754,Indiana,Pacers,IND,pacers,150:27,29,60,0.483,8,23,0.348,18,20,0.9,7,19,26,19,8,2,7,12,84,Starters,534.3,106.9,576.9,115.4,-42.6,-8.5,0.676,1.92,18.1,0.226,0.7,0.456,12.745,12.7,0.483,0.548,1.0,0.982,20.6,103.0,85.83,102.0,0.46,22025,1610612754,IND,Indiana Pacers,0022500048,2025-11-21,IND @ CLE,L,238,109,37,88,0.42,11,37,0.297,24,26,0.923,10,33,43,25,10,6,12,22,-11.0
Detroit Pistons,0022500283,1610612754,Indiana,Pacers,IND,pacers,147:00,16,46,0.348,3,15,0.2,24,31,0.774,2,16,18,11,6,2,7,14,59,Starters,579.2,115.8,598.0,119.6,-18.8,-3.8,0.564,1.69,16.4,0.239,0.6,0.418,12.871,12.9,0.555,0.603,1.0,0.991,20.3,101.5,84.58,101.0,0.469,22025,1610612754,IND,Indiana Pacers,0022500283,2025-11-24,IND vs. DET,L,239,117,39,82,0.476,13,31,0.419,26,34,0.765,5,25,30,22,11,4,13,27,-5.0
Toronto Raptors,0022500063,1610612754,Indiana,Pacers,IND,pacers,146:40,19,47,0.404,8,21,0.381,10,18,0.556,2,20,22,14,7,4,15,15,56,Starters,470.3,94.1,480.2,96.0,-9.9,-2.0,0.571,1.11,15.5,0.167,0.712,0.467,17.822,17.8,0.519,0.539,1.0,0.982,20.2,101.0,84.17,101.0,0.497,22025,1610612754,IND,Indiana Pacers,0022500063,2025-11-26,IND @ TOR,L,240,95,35,78,0.449,11,33,0.333,14,23,0.609,3,40,43,20,7,7,18,22,-2.0
Washington Wizards,0022500073,1610612754,Indiana,Pacers,IND,pacers,134:45,30,56,0.536,9,20,0.45,6,8,0.75,6,23,29,13,4,6,8,8,75,Starters,595.0,119.0,425.7,85.1,169.3,33.9,0.563,1.69,19.1,0.319,0.745,0.549,16.0,16.0,0.592,0.609,1.0,0.947,20.1,100.5,83.75,100.0,0.683,22025,1610612754,IND,Indiana Pacers,0022500073,2025-11-28,IND vs. WAS,W,239,119,48,92,0.522,13,34,0.382,10,13,0.769,10,40,50,27,9,8,11,16,33.0
Chicago Bulls,0022500295,1610612754,Indiana,Pacers,IND,pacers,153:24,31,65,0.477,12,33,0.364,3,5,0.6,2,24,26,15,4,6,10,8,77,Starters,525.5,105.1,505.0,101.0,20.5,4.1,0.585,1.85,18.3,0.184,0.745,0.481,13.265,13.3,0.534,0.549,1.0,0.991,19.8,99.0,82.5,98.0,0.529,22025,1610612754,IND,Indiana Pacers,0022500295,2025-11-29,IND vs. CHI,W,240,103,41,89,0.461,13,41,0.317,8,11,0.727,7,37,44,24,8,10,12,15,2.0
Cleveland Cavaliers,0022500310,1610612754,Indiana,Pacers,IND,pacers,140:36,29,59,0.492,7,20,0.35,15,21,0.714,9,14,23,13,2,3,8,10,80,Starters,601.0,120.2,681.8,136.4,-80.8,-16.2,0.463,1.36,14.0,0.375,0.549,0.465,14.141,14.1,0.541,0.587,1.0,0.983,19.8,99.0,82.5,99.0,0.418,22025,1610612754,IND,Indiana Pacers,0022500310,2025-12-01,IND vs. CLE,L,242,119,41,85,0.482,10,30,0.333,27,37,0.73,14,22,36,19,5,6,14,22,-16.0
Denver Nuggets,0022500325,1610612754,Indiana,Pacers,IND,pacers,125:50,23,48,0.479,11,20,0.55,14,19,0.737,3,16,19,17,2,3,7,12,71,Starters,600.0,120.0,675.0,135.0,-75.0,-15.0,0.571,2.0,18.0,0.233,0.8,0.506,12.0,12.0,0.599,0.64,1.0,0.982,20.0,100.0,83.33,100.0,0.448,22025,1610612754,IND,Indiana Pacers,0022500325,2025-12-03,IND vs. DEN,L,241,120,42,81,0.519,13,28,0.464,23,29,0.793,8,30,38,24,6,5,12,24,-15.0
Chicago Bulls,0022500345,1610612754,Indiana,Pacers,IND,pacers,145:43,34,63,0.54,14,29,0.483,11,13,0.846,4,20,24,16,10,6,9,12,93,Starters,606.1,121.2,519.8,104.0,86.3,17.3,0.533,1.71,18.6,0.146,0.674,0.425,14.141,14.1,0.643,0.659,1.0,0.99,20.0,100.0,83.33,99.0,0.554,22025,1610612754,IND,Indiana Pacers,0022500345,2025-12-05,IND @ CHI,W,238,120,45,84,0.536,18,39,0.462,12,16,0.75,6,29,35,24,13,8,13,21,15.0
Sacramento Kings,0022500364,1610612754,Indiana,Pacers,IND,pacers,161:38,30,62,0.484,9,23,0.391,21,23,0.913,6,21,27,20,9,4,7,9,90,Starters,580.0,116.0,519.8,104.0,60.2,12.0,0.658,1.79,18.1,0.275,0.627,0.451,14.0,14.0,0.517,0.584,1.0,1.0,20.1,100.5,83.75,100.0,0.55,22025,1610612754,IND,Indiana Pacers,0022500364,2025-12-08,IND vs. SAC,W,240,116,38,87,0.437,14,35,0.4,26,28,0.929,10,31,41,25,14,7,13,15,11.0
