OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Utah Jazz,22500087,1610612746,LA,Clippers,LAC,clippers,123:21,24,46,0.522,5,21,0.238,8,10,0.8,5,10,15,17,2,3,8,11,61,Starters,568.4,113.7,678.9,135.8,-110.5,-22.1,0.718,1.87,20.0,0.333,0.61,0.457,15.789,15.8,0.523,0.555,1.0,0.991,19.0,95.0,79.17,95.0,0.379,22025,1610612746,LAC,LA Clippers,0022500087,2025-10-22,LAC @ UTA,L,240,108,39,88,0.443,14,45,0.311,16,21,0.762,15,23,38,28,8,6,15,21,-21.0
Phoenix Suns,22500099,1610612746,LA,Clippers,LAC,clippers,129:08,30,48,0.625,11,16,0.688,17,19,0.895,3,19,22,20,2,3,10,7,88,Starters,664.9,133.0,525.8,105.2,139.2,27.8,0.711,1.68,23.0,0.303,0.667,0.533,19.588,19.6,0.697,0.738,1.0,0.963,19.4,97.0,80.83,97.0,0.674,22025,1610612746,LAC,LA Clippers,0022500099,2025-10-24,LAC vs. PHX,W,240,129,45,76,0.592,16,29,0.552,23,26,0.885,10,35,45,32,12,5,17,19,27.0
Portland Trail Blazers,22500112,1610612746,LA,Clippers,LAC,clippers,153:27,28,54,0.519,6,16,0.375,13,14,0.929,5,26,31,21,6,3,17,14,75,Starters,553.4,110.7,524.5,104.9,28.9,5.8,0.591,1.08,18.7,0.278,0.645,0.51,23.301,23.3,0.625,0.658,1.0,0.956,20.5,102.5,85.42,103.0,0.59,22025,1610612746,LAC,LA Clippers,0022500112,2025-10-26,LAC vs. POR,W,241,114,44,80,0.55,12,31,0.387,14,15,0.933,7,39,46,26,11,8,22,27,7.0
Golden State Warriors,22500127,1610612746,LA,Clippers,LAC,clippers,119:26,22,55,0.4,3,18,0.167,10,10,1.0,6,19,25,4,3,1,7,3,57,Starters,443.8,88.8,544.4,108.9,-100.6,-20.1,0.333,0.63,8.7,0.308,0.729,0.51,17.978,18.0,0.402,0.444,1.0,0.962,17.9,89.5,74.58,89.0,0.392,22025,1610612746,LAC,LA Clippers,0022500127,2025-10-28,LAC @ GSW,L,241,79,30,82,0.366,6,33,0.182,13,16,0.813,13,34,47,10,7,2,13,5,-19.0
New Orleans Pelicans,22500027,1610612746,LA,Clippers,LAC,clippers,158:47,34,60,0.567,12,28,0.429,17,18,0.944,4,21,25,23,8,5,7,12,97,Starters,636.4,127.3,626.3,125.3,10.1,2.0,0.609,2.33,20.1,0.279,0.689,0.489,12.121,12.1,0.601,0.641,1.0,0.991,19.8,99.0,82.5,99.0,0.51,22025,1610612746,LAC,LA Clippers,0022500027,2025-10-31,LAC vs. NOP,W,240,126,46,89,0.517,15,39,0.385,19,21,0.905,10,27,37,28,12,6,12,19,2.0
Miami Heat,22500164,1610612746,LA,Clippers,LAC,clippers,156:44,32,59,0.542,11,24,0.458,14,18,0.778,8,25,33,17,8,4,16,15,89,Starters,583.3,116.7,582.5,116.5,0.8,0.2,0.568,1.19,17.6,0.319,0.81,0.551,20.588,20.6,0.597,0.617,1.0,0.983,20.5,102.5,85.42,102.0,0.452,22025,1610612746,LAC,LA Clippers,0022500164,2025-11-03,LAC vs. MIA,L,240,119,44,88,0.5,17,41,0.415,14,19,0.737,11,33,44,25,13,4,20,24,-1.0
Oklahoma City Thunder,22500170,1610612746,LA,Clippers,LAC,clippers,132:03,18,46,0.391,10,24,0.417,11,13,0.846,6,17,23,16,6,2,9,11,57,Starters,545.9,109.2,636.4,127.3,-90.4,-18.1,0.788,1.37,18.8,0.298,0.773,0.527,19.388,19.4,0.525,0.582,1.0,0.991,19.7,98.5,82.08,98.0,0.417,22025,1610612746,LAC,LA Clippers,0022500170,2025-11-04,LAC vs. OKC,L,242,107,33,80,0.413,18,43,0.419,23,27,0.852,10,32,42,26,9,2,19,20,-19.0
Phoenix Suns,22500182,1610612746,LA,Clippers,LAC,clippers,111:07,16,39,0.41,4,12,0.333,11,12,0.917,6,11,17,10,4,1,6,10,47,Starters,525.8,105.2,605.3,121.1,-79.5,-15.9,0.686,1.6,17.6,0.333,0.611,0.48,15.464,15.5,0.506,0.553,1.0,0.964,19.2,96.0,80.0,97.0,0.467,22025,1610612746,LAC,LA Clippers,0022500182,2025-11-06,LAC @ PHX,L,241,102,35,79,0.443,10,31,0.323,22,30,0.733,11,30,41,24,8,4,15,19,-13.0
Phoenix Suns,22500190,1610612746,LA,Clippers,LAC,clippers,155:46,23,48,0.479,4,19,0.211,9,15,0.6,3,14,17,24,3,0,9,11,59,Starters,578.7,115.7,633.3,126.7,-54.7,-10.9,0.634,2.36,21.3,0.184,0.578,0.398,12.36,12.4,0.597,0.606,1.0,0.99,17.9,89.5,74.58,89.0,0.454,22025,1610612746,LAC,LA Clippers,0022500190,2025-11-08,LAC vs. PHX,L,240,103,41,77,0.532,10,33,0.303,11,18,0.611,5,22,27,26,5,5,11,15,-11.0
Atlanta Hawks,22500206,1610612746,LA,Clippers,LAC,clippers,169:56,29,62,0.468,8,26,0.308,13,19,0.684,10,23,33,14,5,7,8,10,79,Starters,554.3,110.9,558.5,111.7,-4.2,-0.8,0.528,1.58,15.3,0.26,0.694,0.475,13.043,13.0,0.512,0.548,1.0,0.99,18.6,93.0,77.5,92.0,0.475,22025,1610612746,LAC,LA Clippers,0022500206,2025-11-10,LAC vs. ATL,L,240,102,36,82,0.439,12,38,0.316,18,25,0.72,11,31,42,19,7,9,11,14,-3.0
