OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Washington Wizards,22500086,1610612749,Milwaukee,Bucks,MIL,bucks,116:46,33,61,0.541,13,30,0.433,7,11,0.636,3,26,29,15,3,3,4,11,86,Starters,621.5,124.3,560.7,112.1,60.7,12.1,0.62,3.88,21.2,0.154,0.724,0.455,7.477,7.5,0.602,0.625,1.0,0.983,21.4,107.0,89.17,107.0,0.559,22025,1610612749,MIL,Milwaukee Bucks,0022500086,2025-10-22,MIL vs. WAS,W,240,133,50,98,0.51,18,44,0.409,15,19,0.789,6,40,46,31,8,6,8,22,13.0
Toronto Raptors,22500092,1610612749,Milwaukee,Bucks,MIL,bucks,150:29,28,53,0.528,10,26,0.385,11,18,0.611,9,24,33,15,5,4,13,14,77,Starters,586.5,117.3,552.4,110.5,34.2,6.8,0.532,1.32,16.9,0.373,0.745,0.559,18.269,18.3,0.6,0.604,1.0,0.976,20.9,104.5,87.08,104.0,0.518,22025,1610612749,MIL,Milwaukee Bucks,0022500092,2025-10-24,MIL @ TOR,W,241,122,47,90,0.522,14,40,0.35,14,25,0.56,14,37,51,25,9,5,18,24,6.0
Cleveland Cavaliers,22500107,1610612749,Milwaukee,Bucks,MIL,bucks,157:41,32,61,0.525,9,26,0.346,20,28,0.714,8,18,26,23,8,4,11,17,93,Starters,548.5,109.7,572.8,114.6,-24.3,-4.9,0.625,1.39,18.2,0.222,0.653,0.447,17.476,17.5,0.589,0.619,1.0,0.973,20.6,103.0,85.83,103.0,0.496,22025,1610612749,MIL,Milwaukee Bucks,0022500107,2025-10-26,MIL @ CLE,L,239,113,40,79,0.506,13,33,0.394,20,28,0.714,9,28,37,25,12,6,17,26,-5.0
New York Knicks,22500125,1610612749,Milwaukee,Bucks,MIL,bucks,143:48,32,53,0.604,10,20,0.5,13,15,0.867,4,21,25,17,6,5,8,11,87,Starters,623.7,124.7,572.2,114.4,51.5,10.3,0.628,2.08,20.6,0.184,0.643,0.457,13.402,13.4,0.633,0.676,1.0,0.981,19.4,97.0,80.83,97.0,0.571,22025,1610612749,MIL,Milwaukee Bucks,0022500125,2025-10-28,MIL vs. NYK,W,240,121,43,79,0.544,14,34,0.412,21,24,0.875,4,34,38,27,7,8,13,21,10.0
Golden State Warriors,22500139,1610612749,Milwaukee,Bucks,MIL,bucks,164:17,31,64,0.484,14,31,0.452,6,10,0.6,4,18,22,18,6,1,7,13,82,Starters,576.9,115.4,528.8,105.8,48.1,9.6,0.543,1.56,17.4,0.308,0.64,0.471,15.385,15.4,0.578,0.59,1.0,0.95,20.8,104.0,86.67,104.0,0.492,22025,1610612749,MIL,Milwaukee Bucks,0022500139,2025-10-30,MIL vs. GSW,W,239,120,46,96,0.479,19,46,0.413,9,13,0.692,7,27,34,25,7,2,12,22,10.0
Sacramento Kings,22500142,1610612749,Milwaukee,Bucks,MIL,bucks,154:20,30,51,0.588,12,24,0.5,13,23,0.565,6,16,22,20,5,1,7,18,85,Starters,671.7,134.3,681.8,136.4,-10.1,-2.0,0.612,2.73,21.6,0.25,0.63,0.453,11.111,11.1,0.689,0.695,1.0,0.982,19.8,99.0,82.5,99.0,0.485,22025,1610612749,MIL,Milwaukee Bucks,0022500142,2025-11-01,MIL vs. SAC,L,240,133,49,82,0.598,15,32,0.469,20,31,0.645,9,28,37,30,5,2,11,26,-2.0
Indiana Pacers,22500157,1610612749,Milwaukee,Bucks,MIL,bucks,155:18,28,56,0.5,12,30,0.4,8,16,0.5,6,22,28,18,4,5,13,16,76,Starters,568.0,113.6,552.9,110.6,15.1,3.0,0.571,1.33,17.0,0.306,0.673,0.5,17.476,17.5,0.591,0.599,1.0,0.983,20.7,103.5,86.25,103.0,0.489,22025,1610612749,MIL,Milwaukee Bucks,0022500157,2025-11-03,MIL @ IND,W,240,117,42,88,0.477,20,47,0.426,13,22,0.591,9,34,43,24,6,5,18,28,2.0
Toronto Raptors,22500165,1610612749,Milwaukee,Bucks,MIL,bucks,112:55,22,42,0.524,8,17,0.471,6,8,0.75,3,16,19,16,2,2,5,13,58,Starters,495.0,99.0,640.0,128.0,-145.0,-29.0,0.703,1.73,18.6,0.236,0.714,0.462,14.851,14.9,0.494,0.525,1.0,0.93,20.1,100.5,83.75,101.0,0.359,22025,1610612749,MIL,Milwaukee Bucks,0022500165,2025-11-04,MIL @ TOR,L,241,100,37,86,0.43,11,38,0.289,15,21,0.714,9,32,41,26,5,4,12,26,-28.0
Chicago Bulls,22500035,1610612749,Milwaukee,Bucks,MIL,bucks,156:33,35,76,0.461,13,30,0.433,12,16,0.75,10,26,36,18,9,5,9,10,95,Starters,594.3,118.9,518.9,103.8,75.5,15.1,0.563,2.45,17.9,0.316,0.813,0.543,10.377,10.4,0.544,0.568,1.0,0.976,21.2,106.0,88.33,106.0,0.528,22025,1610612749,MIL,Milwaukee Bucks,0022500035,2025-11-07,MIL vs. CHI,W,241,126,48,103,0.466,16,39,0.41,14,18,0.778,14,39,53,27,10,6,11,16,16.0
Houston Rockets,22500191,1610612749,Milwaukee,Bucks,MIL,bucks,155:21,31,59,0.525,8,20,0.4,11,19,0.579,6,13,19,14,8,4,8,12,81,Starters,592.8,118.6,635.4,127.1,-42.6,-8.5,0.568,1.92,19.2,0.214,0.488,0.353,13.402,13.4,0.639,0.642,1.0,0.971,19.3,96.5,80.42,97.0,0.472,22025,1610612749,MIL,Milwaukee Bucks,0022500191,2025-11-09,MIL vs. HOU,L,241,115,44,79,0.557,13,29,0.448,14,24,0.583,7,20,27,25,11,6,13,20,-7.0
