OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Memphis Grizzlies,22500085,1610612740,New Orleans,Pelicans,NOP,pelicans,155:52,29,68,0.426,7,18,0.389,14,20,0.7,13,19,32,14,9,2,9,20,79,Starters,564.8,113.0,587.2,117.4,-22.3,-4.5,0.444,1.33,13.4,0.368,0.744,0.53,13.889,13.9,0.51,0.546,1.0,0.984,21.7,108.5,90.42,108.0,0.456,22025,1610612740,NOP,New Orleans Pelicans,0022500085,2025-10-22,NOP @ MEM,L,240,122,45,98,0.459,10,27,0.37,22,31,0.71,17,30,47,20,10,4,14,30,-6.0
San Antonio Spurs,22500095,1610612740,New Orleans,Pelicans,NOP,pelicans,180:20,28,71,0.394,9,26,0.346,16,21,0.762,13,21,34,21,7,1,10,13,81,Starters,552.4,110.5,560.7,112.1,-8.4,-1.7,0.571,1.6,16.1,0.339,0.533,0.437,14.286,14.3,0.485,0.528,1.0,0.976,19.2,96.0,80.0,105.0,0.479,22025,1610612740,NOP,New Orleans Pelicans,0022500095,2025-10-24,NOP vs. SAS,L,265,116,42,97,0.433,10,32,0.313,22,29,0.759,16,29,45,24,10,3,13,21,-4.0
Boston Celtics,22500117,1610612740,New Orleans,Pelicans,NOP,pelicans,136:34,15,48,0.313,5,20,0.25,18,20,0.9,5,13,18,14,2,0,8,14,53,Starters,478.7,95.7,642.1,128.4,-163.4,-32.7,0.607,1.21,13.3,0.293,0.551,0.411,14.894,14.9,0.387,0.467,1.0,0.973,18.9,94.5,78.75,94.0,0.312,22025,1610612740,NOP,New Orleans Pelicans,0022500117,2025-10-27,NOP vs. BOS,L,240,90,28,84,0.333,9,36,0.25,25,28,0.893,11,24,35,17,7,0,13,19,-32.0
Denver Nuggets,22500134,1610612740,New Orleans,Pelicans,NOP,pelicans,121:14,18,39,0.462,3,12,0.25,7,10,0.7,5,9,14,9,4,1,8,9,46,Starters,449.0,89.8,616.2,123.2,-167.2,-33.4,0.531,1.21,13.1,0.25,0.651,0.417,14.286,14.3,0.418,0.45,1.0,0.982,19.7,98.5,82.08,98.0,0.269,22025,1610612740,NOP,New Orleans Pelicans,0022500134,2025-10-29,NOP @ DEN,L,240,88,32,85,0.376,7,34,0.206,17,29,0.586,13,23,36,17,9,3,13,15,-34.0
Los Angeles Clippers,22500027,1610612740,New Orleans,Pelicans,NOP,pelicans,153:11,26,54,0.481,10,19,0.526,14,16,0.875,10,18,28,24,7,1,9,10,76,Starters,626.3,125.3,636.4,127.3,-10.1,-2.0,0.7,1.87,19.9,0.311,0.721,0.511,15.152,15.2,0.59,0.647,1.0,0.982,19.8,99.0,82.5,99.0,0.49,22025,1610612740,NOP,New Orleans Pelicans,0022500027,2025-10-31,NOP @ LAC,L,241,124,40,83,0.482,18,37,0.486,26,29,0.897,12,31,43,28,8,4,15,18,-2.0
Oklahoma City Thunder,22500148,1610612740,New Orleans,Pelicans,NOP,pelicans,131:51,26,50,0.52,12,22,0.545,10,18,0.556,8,17,25,15,4,2,10,15,74,Starters,524.8,105.0,691.9,138.4,-167.2,-33.4,0.743,1.53,18.1,0.321,0.744,0.5,16.832,16.8,0.538,0.563,1.0,0.941,20.0,100.0,83.33,101.0,0.339,22025,1610612740,NOP,New Orleans Pelicans,0022500148,2025-11-02,NOP @ OKC,L,240,106,35,80,0.438,16,40,0.4,20,32,0.625,12,26,38,26,6,3,16,22,-31.0
Charlotte Hornets,22500168,1610612740,New Orleans,Pelicans,NOP,pelicans,132:36,18,52,0.346,10,24,0.417,8,8,1.0,4,13,17,12,3,2,7,10,54,Starters,574.3,114.9,560.0,112.0,14.3,2.9,0.628,2.08,18.9,0.288,0.6,0.433,12.871,12.9,0.572,0.59,1.0,0.957,20.1,100.5,83.75,101.0,0.522,22025,1610612740,NOP,New Orleans Pelicans,0022500168,2025-11-04,NOP vs. CHA,W,240,116,43,90,0.478,17,38,0.447,13,19,0.684,13,26,39,27,9,3,12,20,4.0
Dallas Mavericks,22500177,1610612740,New Orleans,Pelicans,NOP,pelicans,143:07,27,59,0.458,6,21,0.286,6,7,0.857,11,23,34,13,5,3,9,8,66,Starters,505.0,101.0,500.0,100.0,5.0,1.0,0.462,1.13,13.3,0.315,0.75,0.536,16.0,16.0,0.484,0.515,1.0,0.949,19.9,99.5,82.92,100.0,0.52,22025,1610612740,NOP,New Orleans Pelicans,0022500177,2025-11-05,NOP @ DAL,W,240,101,39,91,0.429,10,31,0.323,13,16,0.813,14,42,56,18,10,3,13,18,2.0
San Antonio Spurs,22500188,1610612740,New Orleans,Pelicans,NOP,pelicans,154:21,34,64,0.531,11,28,0.393,10,13,0.769,7,16,23,14,7,0,5,11,89,Starters,595.0,119.0,630.0,126.0,-35.0,-7.0,0.6,2.25,18.9,0.314,0.714,0.495,12.0,12.0,0.559,0.586,1.0,0.966,20.0,100.0,83.33,100.0,0.452,22025,1610612740,NOP,New Orleans Pelicans,0022500188,2025-11-08,NOP @ SAS,L,241,119,45,94,0.479,15,38,0.395,14,17,0.824,11,29,40,27,7,2,11,19,-7.0
Phoenix Suns,22500204,1610612740,New Orleans,Pelicans,NOP,pelicans,137:31,20,52,0.385,8,22,0.364,12,15,0.8,12,15,27,11,7,1,12,10,60,Starters,500.0,100.0,605.0,121.0,-105.0,-21.0,0.529,0.9,13.6,0.314,0.651,0.468,20.408,20.4,0.47,0.519,1.0,0.991,19.8,99.0,82.5,98.0,0.345,22025,1610612740,NOP,New Orleans Pelicans,0022500204,2025-11-10,NOP @ PHX,L,240,98,34,83,0.41,10,32,0.313,20,26,0.769,15,25,40,18,12,3,19,23,-23.0
