OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Cleveland Cavaliers,22500003,1610612752,New York,Knicks,NYK,knicks,153:50,26,60,0.433,7,25,0.28,25,29,0.862,5,34,39,17,6,4,10,13,84,Starters,566.7,113.3,528.6,105.7,38.1,7.6,0.595,1.57,15.9,0.245,0.837,0.541,13.333,13.3,0.512,0.584,1.0,0.983,21.0,105.0,87.5,105.0,0.564,22025,1610612752,NYK,New York Knicks,0022500003,2025-10-22,NYK vs. CLE,W,241,119,37,86,0.43,14,40,0.35,31,36,0.861,9,39,48,22,8,4,13,23,8.0
Boston Celtics,22500018,1610612752,New York,Knicks,NYK,knicks,165:18,27,67,0.403,13,33,0.394,22,25,0.88,11,17,28,15,6,3,9,10,89,Starters,564.5,112.9,505.3,101.1,59.2,11.8,0.697,1.15,16.3,0.455,0.765,0.604,21.505,21.5,0.483,0.541,1.0,0.949,18.7,93.5,77.92,93.0,0.562,22025,1610612752,NYK,New York Knicks,0022500018,2025-10-24,NYK vs. BOS,W,240,105,33,86,0.384,17,45,0.378,22,25,0.88,21,32,53,23,7,4,15,17,10.0
Miami Heat,22500108,1610612752,New York,Knicks,NYK,knicks,155:07,31,66,0.47,14,36,0.389,10,12,0.833,6,30,36,15,7,3,9,17,86,Starters,514.4,102.9,547.6,109.5,-33.2,-6.6,0.605,1.44,15.8,0.311,0.735,0.5,15.385,15.4,0.464,0.499,1.0,0.984,20.9,104.5,87.08,104.0,0.417,22025,1610612752,NYK,New York Knicks,0022500108,2025-10-26,NYK @ MIA,L,241,107,38,98,0.388,15,54,0.278,16,21,0.762,16,36,52,23,9,3,15,24,-8.0
Milwaukee Bucks,22500125,1610612752,New York,Knicks,NYK,knicks,172:39,32,75,0.427,9,30,0.3,20,23,0.87,12,24,36,16,6,2,8,17,93,Starters,572.2,114.4,623.7,124.7,-51.5,-10.3,0.615,1.85,17.0,0.357,0.816,0.543,13.402,13.4,0.495,0.543,1.0,0.974,19.4,97.0,80.83,97.0,0.429,22025,1610612752,NYK,New York Knicks,0022500125,2025-10-28,NYK @ MIL,L,240,111,39,92,0.424,13,40,0.325,20,23,0.87,17,28,45,24,9,2,13,21,-10.0
Chicago Bulls,22500023,1610612752,New York,Knicks,NYK,knicks,160:37,39,69,0.565,13,28,0.464,13,18,0.722,10,21,31,22,1,3,7,17,104,Starters,637.8,127.6,681.8,136.4,-44.1,-8.8,0.6,2.25,19.4,0.3,0.707,0.484,12.245,12.2,0.593,0.618,1.0,1.0,19.7,98.5,82.08,98.0,0.424,22025,1610612752,NYK,New York Knicks,0022500023,2025-10-31,NYK @ CHI,L,240,125,45,91,0.495,18,45,0.4,17,23,0.739,12,27,39,27,3,5,12,25,-10.0
Chicago Bulls,22500153,1610612752,New York,Knicks,NYK,knicks,151:24,26,60,0.433,11,25,0.44,19,19,1.0,10,22,32,22,5,5,8,6,82,Starters,633.7,126.7,574.3,114.9,59.4,11.9,0.721,2.82,20.8,0.327,0.74,0.529,10.891,10.9,0.558,0.611,1.0,0.983,20.2,101.0,84.17,101.0,0.552,22025,1610612752,NYK,New York Knicks,0022500153,2025-11-02,NYK vs. CHI,W,241,128,43,95,0.453,20,42,0.476,22,22,1.0,14,33,47,31,7,5,11,12,12.0
Washington Wizards,22500159,1610612752,New York,Knicks,NYK,knicks,149:03,32,70,0.457,10,27,0.37,12,13,0.923,7,20,27,20,11,4,8,7,86,Starters,583.3,116.7,500.0,100.0,83.3,16.7,0.727,2.67,21.8,0.25,0.83,0.525,11.765,11.8,0.548,0.579,1.0,0.983,20.4,102.0,85.0,102.0,0.578,22025,1610612752,NYK,New York Knicks,0022500159,2025-11-03,NYK vs. WAS,W,239,119,44,94,0.468,15,41,0.366,16,20,0.8,12,37,49,32,12,4,12,16,17.0
Minnesota Timberwolves,22500175,1610612752,New York,Knicks,NYK,knicks,144:42,33,65,0.508,10,25,0.4,8,9,0.889,18,18,36,21,5,8,11,14,84,Starters,706.2,141.2,593.8,118.8,112.4,22.5,0.582,2.29,21.1,0.5,0.727,0.609,14.433,14.4,0.632,0.646,1.0,0.992,19.3,96.5,80.42,97.0,0.574,22025,1610612752,NYK,New York Knicks,0022500175,2025-11-05,NYK vs. MIN,W,239,137,55,102,0.539,19,42,0.452,8,9,0.889,21,29,50,32,7,8,14,21,23.0
Brooklyn Nets,22500192,1610612752,New York,Knicks,NYK,knicks,128:30,32,54,0.593,11,21,0.524,15,16,0.938,10,19,29,17,5,2,7,12,90,Starters,705.3,141.1,510.4,102.1,194.8,39.0,0.646,2.21,21.4,0.442,0.647,0.553,14.737,14.7,0.635,0.667,1.0,0.991,19.1,95.5,79.58,95.0,0.684,22025,1610612752,NYK,New York Knicks,0022500192,2025-11-09,NYK vs. BKN,W,239,134,48,89,0.539,17,37,0.459,21,26,0.808,15,31,46,31,9,3,14,25,36.0
Memphis Grizzlies,22500208,1610612752,New York,Knicks,NYK,knicks,162:17,36,75,0.48,15,40,0.375,14,17,0.824,9,21,30,22,10,2,12,14,101,Starters,604.5,120.9,540.5,108.1,64.0,12.8,0.745,2.33,22.0,0.259,0.814,0.505,13.636,13.6,0.592,0.623,1.0,0.976,22.1,110.5,92.08,110.0,0.522,22025,1610612752,NYK,New York Knicks,0022500208,2025-11-11,NYK vs. MEM,W,241,133,47,98,0.48,22,55,0.4,17,20,0.85,10,34,44,35,12,2,14,21,13.0
