OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Houston Rockets,0022500001,1610612760,Oklahoma City,Thunder,OKC,thunder,209:28,32,70,0.457,6,31,0.194,19,24,0.792,10,23,33,22,9,2,10,21,89,Starters,563.1,112.6,539.1,107.8,23.9,4.8,0.63,2.42,18.5,0.283,0.518,0.397,10.811,10.8,0.505,0.543,1.0,0.984,18.7,93.52,77.93,111.0,0.521,22025,1610612760,OKC,Oklahoma City Thunder,0022500001,2025-10-21,OKC vs. HOU,W,290,125,46,104,0.442,13,52,0.25,20,25,0.8,11,27,38,29,12,4,11,27,1.0
Indiana Pacers,0022500005,1610612760,Oklahoma City,Thunder,OKC,thunder,200:22,30,67,0.448,8,26,0.308,37,43,0.86,7,44,51,11,5,2,11,20,105,Starters,573.2,114.6,540.0,108.0,33.2,6.6,0.395,1.21,11.3,0.179,0.754,0.496,11.382,11.4,0.505,0.6,1.0,0.985,20.52,102.62,85.52,123.0,0.553,22025,1610612760,OKC,Oklahoma City Thunder,0022500005,2025-10-23,OKC @ IND,W,289,141,43,95,0.453,10,35,0.286,45,51,0.882,9,51,60,17,6,2,14,33,6.0
Atlanta Hawks,0022500101,1610612760,Oklahoma City,Thunder,OKC,thunder,137:43,30,56,0.536,10,22,0.455,13,15,0.867,9,22,31,12,11,3,8,9,83,Starters,615.8,123.2,520.8,104.2,95.0,19.0,0.488,1.62,15.6,0.373,0.667,0.524,13.684,13.7,0.538,0.577,1.0,0.991,19.1,95.5,79.58,95.0,0.594,22025,1610612760,OKC,Oklahoma City Thunder,0022500101,2025-10-25,OKC @ ATL,W,241,117,43,93,0.462,14,37,0.378,17,19,0.895,15,35,50,21,13,3,12,19,17.0
Dallas Mavericks,0022500119,1610612760,Oklahoma City,Thunder,OKC,thunder,161:50,28,61,0.459,5,19,0.263,6,8,0.75,7,30,37,16,3,4,9,14,67,Starters,520.6,104.1,479.6,95.9,41.0,8.2,0.5,1.62,16.0,0.265,0.8,0.56,13.402,13.4,0.5,0.528,1.0,0.991,19.5,97.5,81.25,97.0,0.57,22025,1610612760,OKC,Oklahoma City Thunder,0022500119,2025-10-27,OKC @ DAL,W,239,101,42,90,0.467,6,30,0.2,11,13,0.846,9,46,55,21,5,5,13,23,7.0
Sacramento Kings,0022500126,1610612760,Oklahoma City,Thunder,OKC,thunder,161:45,30,62,0.484,8,26,0.308,6,7,0.857,7,28,35,17,5,8,9,9,74,Starters,524.5,104.9,500.0,100.0,24.5,4.9,0.619,1.73,18.8,0.235,0.78,0.505,14.706,14.7,0.533,0.555,1.0,0.991,20.3,101.5,84.58,102.0,0.528,22025,1610612760,OKC,Oklahoma City Thunder,0022500126,2025-10-28,OKC vs. SAC,W,242,107,42,92,0.457,14,44,0.318,9,10,0.9,10,34,44,26,11,10,15,19,6.0
Washington Wizards,0022500140,1610612760,Oklahoma City,Thunder,OKC,thunder,132:11,27,56,0.482,6,21,0.286,15,18,0.833,11,15,26,19,8,5,5,5,75,Starters,622.5,124.5,534.7,106.9,87.9,17.6,0.659,4.83,19.5,0.321,0.723,0.505,5.882,5.9,0.531,0.576,1.0,0.975,20.3,101.5,84.58,102.0,0.615,22025,1610612760,OKC,Oklahoma City Thunder,0022500140,2025-10-30,OKC vs. WAS,W,240,127,44,98,0.449,16,49,0.327,23,28,0.821,14,33,47,29,16,8,6,15,19.0
New Orleans Pelicans,0022500148,1610612760,Oklahoma City,Thunder,OKC,thunder,131:12,28,46,0.609,11,24,0.458,17,18,0.944,4,16,20,21,8,3,5,11,84,Starters,691.9,138.4,524.8,105.0,167.2,33.4,0.702,2.54,23.2,0.256,0.679,0.5,13.131,13.1,0.679,0.718,1.0,0.972,20.0,100.0,83.33,99.0,0.661,22025,1610612760,OKC,Oklahoma City Thunder,0022500148,2025-11-02,OKC vs. NOP,W,240,137,47,84,0.56,20,48,0.417,23,26,0.885,8,34,42,33,12,5,11,22,31.0
Los Angeles Clippers,0022500170,1610612760,Oklahoma City,Thunder,OKC,thunder,122:18,24,41,0.585,7,13,0.538,14,17,0.824,2,20,22,19,6,6,7,13,69,Starters,636.4,127.3,545.9,109.2,90.4,18.1,0.622,2.55,20.4,0.227,0.702,0.473,11.111,11.1,0.628,0.658,1.0,0.963,19.7,98.5,82.08,99.0,0.583,22025,1610612760,OKC,Oklahoma City Thunder,0022500170,2025-11-04,OKC @ LAC,W,242,126,45,86,0.523,18,38,0.474,18,22,0.818,8,32,40,28,12,6,10,23,19.0
Portland Trail Blazers,0022500180,1610612760,Oklahoma City,Thunder,OKC,thunder,163:47,32,64,0.5,11,20,0.55,23,25,0.92,10,24,34,17,9,0,12,21,98,Starters,550.9,110.2,560.2,112.0,-9.3,-1.9,0.632,1.6,16.6,0.268,0.704,0.482,13.889,13.9,0.5,0.569,1.0,0.983,21.6,108.0,90.0,108.0,0.491,22025,1610612760,OKC,Oklahoma City Thunder,0022500180,2025-11-05,OKC @ POR,L,240,119,38,91,0.418,15,38,0.395,28,31,0.903,13,37,50,24,9,5,14,27,-2.0
Sacramento Kings,0022500038,1610612760,Oklahoma City,Thunder,OKC,thunder,140:09,41,66,0.621,7,16,0.438,17,18,0.944,7,27,34,19,7,6,7,10,106,Starters,628.6,125.7,485.6,97.1,143.0,28.6,0.551,2.45,18.9,0.256,0.772,0.55,10.476,10.5,0.61,0.65,1.0,0.966,20.9,104.5,87.08,105.0,0.668,22025,1610612760,OKC,Oklahoma City Thunder,0022500038,2025-11-07,OKC @ SAC,W,239,132,49,91,0.538,13,35,0.371,21,24,0.875,8,44,52,27,9,8,11,16,31.0
