OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Miami Heat,22500081,1610612753,Orlando,Magic,ORL,magic,149:24,31,64,0.484,8,18,0.444,24,29,0.828,5,26,31,13,6,4,12,17,94,Starters,563.1,112.6,545.0,109.0,18.0,3.6,0.548,1.53,15.8,0.25,0.717,0.486,13.514,13.5,0.533,0.593,1.0,0.984,22.2,111.0,92.5,111.0,0.528,22025,1610612753,ORL,Orlando Magic,0022500081,2025-10-22,ORL vs. MIA,W,242,125,42,90,0.467,12,30,0.4,29,35,0.829,9,37,46,23,8,7,15,20,4.0
Atlanta Hawks,22500090,1610612753,Orlando,Magic,ORL,magic,154:24,25,55,0.455,6,22,0.273,18,27,0.667,7,23,30,14,3,0,16,18,74,Starters,519.4,103.9,549.5,109.9,-30.1,-6.0,0.568,0.95,14.7,0.358,0.745,0.54,21.359,21.4,0.532,0.567,1.0,0.943,20.4,102.0,85.0,103.0,0.434,22025,1610612753,ORL,Orlando Magic,0022500090,2025-10-24,ORL vs. ATL,L,240,107,37,78,0.474,9,31,0.29,24,37,0.649,12,33,45,21,7,3,22,26,-4.0
Chicago Bulls,22500100,1610612753,Orlando,Magic,ORL,magic,146:40,22,60,0.367,2,11,0.182,17,21,0.81,10,25,35,7,6,2,13,18,63,Starters,453.7,90.7,514.0,102.8,-60.3,-12.1,0.353,0.6,8.6,0.333,0.792,0.543,18.519,18.5,0.408,0.483,1.0,0.969,21.5,107.5,89.58,108.0,0.396,22025,1610612753,ORL,Orlando Magic,0022500100,2025-10-25,ORL vs. CHI,L,240,98,34,87,0.391,3,24,0.125,27,33,0.818,15,38,53,12,8,5,20,25,-12.0
Philadelphia 76ers,22500114,1610612753,Orlando,Magic,ORL,magic,163:14,36,65,0.554,6,20,0.3,22,27,0.815,9,21,30,18,1,6,8,16,100,Starters,632.7,126.5,686.9,137.4,-54.2,-10.8,0.6,2.08,19.1,0.356,0.596,0.485,13.265,13.3,0.598,0.628,1.0,0.982,19.7,98.5,82.08,98.0,0.494,22025,1610612753,ORL,Orlando Magic,0022500114,2025-10-27,ORL @ PHI,L,240,124,45,82,0.549,8,25,0.32,26,38,0.684,13,30,43,27,4,7,13,22,-12.0
Detroit Pistons,22500129,1610612753,Orlando,Magic,ORL,magic,134:37,21,52,0.404,7,16,0.438,25,36,0.694,8,19,27,17,3,3,10,16,74,Starters,574.3,114.9,681.8,136.4,-107.6,-21.5,0.579,1.29,15.2,0.386,0.571,0.472,16.832,16.8,0.53,0.577,1.0,0.943,20.0,100.0,83.33,101.0,0.39,22025,1610612753,ORL,Orlando Magic,0022500129,2025-10-29,ORL @ DET,L,242,116,38,83,0.458,12,31,0.387,28,40,0.7,15,28,43,22,5,5,16,27,-19.0
Charlotte Hornets,22500138,1610612753,Orlando,Magic,ORL,magic,152:20,34,61,0.557,11,23,0.478,9,14,0.643,11,16,27,24,5,3,11,11,88,Starters,640.6,128.1,557.3,111.5,83.3,16.7,0.644,2.23,20.7,0.348,0.636,0.489,13.542,13.5,0.609,0.633,1.0,0.991,19.2,96.0,80.0,96.0,0.572,22025,1610612753,ORL,Orlando Magic,0022500138,2025-10-30,ORL @ CHA,W,240,123,45,87,0.517,16,38,0.421,17,23,0.739,14,24,38,29,10,7,13,19,16.0
Washington Wizards,22500145,1610612753,Orlando,Magic,ORL,magic,124:13,29,60,0.483,8,24,0.333,14,14,1.0,6,25,31,20,10,4,9,12,80,Starters,584.1,116.8,435.2,87.0,148.9,29.8,0.681,1.88,21.1,0.283,0.723,0.541,15.888,15.9,0.576,0.615,1.0,0.975,21.5,107.5,89.58,107.0,0.733,22025,1610612753,ORL,Orlando Magic,0022500145,2025-11-01,ORL @ WAS,W,241,125,47,92,0.511,12,36,0.333,19,22,0.864,8,45,53,32,13,10,15,16,31.0
Atlanta Hawks,22500166,1610612753,Orlando,Magic,ORL,magic,143:50,22,53,0.415,5,18,0.278,23,27,0.852,9,17,26,17,5,0,12,21,72,Starters,560.0,112.0,628.7,125.7,-68.7,-13.7,0.722,1.37,18.2,0.354,0.73,0.518,19.0,19.0,0.5,0.574,1.0,0.974,20.1,100.5,83.75,100.0,0.423,22025,1610612753,ORL,Orlando Magic,0022500166,2025-11-04,ORL @ ATL,L,240,112,36,83,0.434,11,34,0.324,29,33,0.879,14,27,41,26,9,1,17,30,-15.0
Boston Celtics,22500028,1610612753,Orlando,Magic,ORL,magic,161:47,31,61,0.508,11,25,0.44,23,27,0.852,7,22,29,23,4,4,12,12,96,Starters,621.2,124.2,555.6,111.1,65.7,13.1,0.683,1.87,20.1,0.261,0.643,0.471,15.152,15.2,0.604,0.643,1.0,0.982,19.8,99.0,82.5,99.0,0.574,22025,1610612753,ORL,Orlando Magic,0022500028,2025-11-07,ORL vs. BOS,W,240,123,41,82,0.5,17,36,0.472,24,31,0.774,11,33,44,28,8,7,15,18,13.0
Boston Celtics,22500193,1610612753,Orlando,Magic,ORL,magic,167:33,28,60,0.467,5,20,0.25,28,30,0.933,10,22,32,18,6,1,15,18,89,Starters,563.2,112.6,578.1,115.6,-15.0,-3.0,0.6,1.24,16.0,0.333,0.68,0.516,17.895,17.9,0.494,0.581,1.0,0.991,19.1,95.5,79.58,95.0,0.507,22025,1610612753,ORL,Orlando Magic,0022500193,2025-11-09,ORL vs. BOS,L,240,107,35,78,0.449,7,29,0.241,30,32,0.938,12,30,42,21,8,4,17,24,-4.0
Portland Trail Blazers,22500200,1610612753,Orlando,Magic,ORL,magic,166:33,34,67,0.507,6,17,0.353,22,27,0.815,8,26,34,23,3,4,13,19,96,Starters,580.8,116.2,571.4,114.3,9.4,1.9,0.667,2.0,18.3,0.373,0.764,0.575,13.131,13.1,0.494,0.564,1.0,0.991,19.7,98.5,82.08,99.0,0.564,22025,1610612753,ORL,Orlando Magic,0022500200,2025-11-10,ORL vs. POR,W,240,115,39,87,0.448,8,30,0.267,29,34,0.853,11,39,50,26,6,7,13,23,3.0
New York Knicks,22500215,1610612753,Orlando,Magic,ORL,magic,140:32,28,59,0.475,7,20,0.35,18,21,0.857,7,22,29,19,4,3,10,14,81,Starters,607.8,121.6,529.7,105.9,78.1,15.6,0.69,1.93,19.5,0.383,0.76,0.577,14.706,14.7,0.558,0.617,1.0,0.967,20.3,101.5,84.58,102.0,0.61,22025,1610612753,ORL,Orlando Magic,0022500215,2025-11-12,ORL @ NYK,W,239,124,42,86,0.488,12,33,0.364,28,33,0.848,12,37,49,29,10,4,15,23,17.0
Brooklyn Nets,22500040,1610612753,Orlando,Magic,ORL,magic,169:26,28,62,0.452,13,33,0.394,18,21,0.857,3,29,32,17,0,2,16,11,87,Starters,570.7,114.1,532.6,106.5,38.0,7.6,0.583,1.11,16.3,0.378,0.778,0.596,20.652,20.7,0.558,0.602,1.0,0.991,18.4,92.0,76.67,92.0,0.536,22025,1610612753,ORL,Orlando Magic,0022500040,2025-11-14,ORL vs. BKN,W,239,105,36,78,0.462,15,39,0.385,18,21,0.857,7,39,46,21,3,5,19,16,7.0
Houston Rockets,22500236,1610612753,Orlando,Magic,ORL,magic,200:38,34,76,0.447,10,30,0.333,23,30,0.767,5,19,24,16,8,7,8,17,101,Starters,533.0,106.6,557.1,111.4,-24.1,-4.8,0.553,2.63,15.2,0.224,0.633,0.432,7.547,7.5,0.484,0.533,1.0,0.966,19.11,95.55,79.62,106.0,0.496,22025,1610612753,ORL,Orlando Magic,0022500236,2025-11-16,ORL @ HOU,L,265,113,38,91,0.418,12,37,0.324,25,34,0.735,9,29,38,21,11,9,8,22,-4.0
Golden State Warriors,22500249,1610612753,Orlando,Magic,ORL,magic,171:28,29,64,0.453,6,26,0.231,22,22,1.0,8,27,35,20,10,2,10,15,86,Starters,581.7,116.3,553.9,110.8,27.8,5.6,0.651,2.0,19.3,0.311,0.833,0.563,13.462,13.5,0.553,0.619,1.0,0.957,20.6,103.0,85.83,104.0,0.546,22025,1610612753,ORL,Orlando Magic,0022500249,2025-11-18,ORL vs. GSW,W,240,121,43,85,0.506,8,32,0.25,27,29,0.931,10,33,43,28,14,3,14,20,8.0
Los Angeles Clippers,22500264,1610612753,Orlando,Magic,ORL,magic,148:57,28,71,0.394,12,26,0.462,14,16,0.875,7,24,31,22,5,2,6,9,82,Starters,614.3,122.9,481.0,96.2,133.3,26.7,0.711,2.91,21.2,0.3,0.722,0.519,10.476,10.5,0.574,0.617,1.0,0.975,21.0,105.0,87.5,105.0,0.664,22025,1610612753,ORL,Orlando Magic,0022500264,2025-11-20,ORL vs. LAC,W,240,129,45,94,0.479,18,34,0.529,21,24,0.875,12,39,51,32,12,4,10,17,28.0
New York Knicks,22500269,1610612753,Orlando,Magic,ORL,magic,147:58,35,62,0.565,11,24,0.458,24,26,0.923,6,13,19,18,1,0,10,17,105,Starters,665.0,133.0,599.0,119.8,66.0,13.2,0.596,2.0,19.9,0.317,0.69,0.506,14.0,14.0,0.629,0.677,1.0,0.982,20.1,100.5,83.75,100.0,0.535,22025,1610612753,ORL,Orlando Magic,0022500269,2025-11-22,ORL vs. NYK,W,240,133,47,85,0.553,13,33,0.394,26,30,0.867,11,25,36,28,5,2,13,26,12.0
Boston Celtics,22500277,1610612753,Orlando,Magic,ORL,magic,120:15,22,47,0.468,5,10,0.5,14,19,0.737,9,10,19,18,2,1,5,8,63,Starters,664.9,133.0,711.3,142.3,-46.4,-9.3,0.702,4.13,21.6,0.418,0.806,0.571,8.247,8.2,0.55,0.583,1.0,0.967,19.4,97.0,80.83,97.0,0.452,22025,1610612753,ORL,Orlando Magic,0022500277,2025-11-23,ORL @ BOS,L,240,129,47,100,0.47,16,38,0.421,19,24,0.792,18,26,44,33,3,4,7,17,-9.0
Philadelphia 76ers,22500058,1610612753,Orlando,Magic,ORL,magic,110:15,24,46,0.522,4,14,0.286,10,12,0.833,6,18,24,24,5,3,5,10,62,Starters,685.7,137.1,481.3,96.3,204.4,40.9,0.704,3.17,23.3,0.392,0.75,0.566,11.429,11.4,0.599,0.635,1.0,0.992,21.2,106.0,88.33,105.0,0.651,22025,1610612753,ORL,Orlando Magic,0022500058,2025-11-25,ORL @ PHI,W,241,144,54,101,0.535,13,34,0.382,23,28,0.821,15,32,47,38,10,4,11,20,41.0
Detroit Pistons,22500072,1610612753,Orlando,Magic,ORL,magic,162:07,30,73,0.411,4,25,0.16,24,26,0.923,9,24,33,7,10,4,10,17,88,Starters,533.3,106.7,524.0,104.8,9.3,1.9,0.35,1.0,10.0,0.35,0.627,0.477,13.333,13.3,0.438,0.504,1.0,0.968,20.9,104.5,87.08,105.0,0.505,22025,1610612753,ORL,Orlando Magic,0022500072,2025-11-28,ORL @ DET,W,240,112,40,97,0.412,5,30,0.167,27,32,0.844,14,30,44,14,15,7,13,25,3.0
Chicago Bulls,22500314,1610612753,Orlando,Magic,ORL,magic,147:54,32,60,0.533,6,24,0.25,19,21,0.905,8,16,24,13,10,4,12,12,89,Starters,584.1,116.8,560.7,112.1,23.4,4.7,0.556,1.39,17.0,0.313,0.729,0.521,16.822,16.8,0.563,0.61,1.0,0.975,21.4,107.0,89.17,107.0,0.54,22025,1610612753,ORL,Orlando Magic,0022500314,2025-12-01,ORL vs. CHI,W,239,125,45,88,0.511,9,33,0.273,26,33,0.788,12,34,46,25,12,11,17,16,5.0
San Antonio Spurs,22500326,1610612753,Orlando,Magic,ORL,magic,155:08,32,71,0.451,8,22,0.364,8,11,0.727,3,21,24,18,8,2,4,11,80,Starters,523.4,104.7,542.9,108.6,-19.5,-3.9,0.6,2.7,18.0,0.293,0.741,0.509,9.346,9.3,0.5,0.522,1.0,0.959,21.2,106.0,88.33,107.0,0.534,22025,1610612753,ORL,Orlando Magic,0022500326,2025-12-03,ORL vs. SAS,L,241,112,45,99,0.455,9,27,0.333,13,19,0.684,10,38,48,27,11,3,10,19,-2.0
Miami Heat,22500339,1610612753,Orlando,Magic,ORL,magic,143:12,29,70,0.414,10,27,0.37,7,10,0.7,3,18,21,14,2,2,6,11,75,Starters,524.8,105.0,514.7,102.9,10.0,2.0,0.632,2.4,17.4,0.241,0.848,0.51,9.901,9.9,0.478,0.517,1.0,1.0,20.3,101.5,84.58,101.0,0.473,22025,1610612753,ORL,Orlando Magic,0022500339,2025-12-05,ORL vs. MIA,W,240,106,38,92,0.413,12,34,0.353,18,24,0.75,7,35,42,24,5,3,10,19,1.0
New York Knicks,22500357,1610612753,Orlando,Magic,ORL,magic,130:36,22,54,0.407,8,22,0.364,12,15,0.8,7,13,20,14,4,1,3,11,64,Starters,520.8,104.2,552.1,110.4,-31.3,-6.3,0.639,1.92,16.3,0.377,0.685,0.522,12.5,12.5,0.447,0.478,1.0,0.983,19.2,96.0,80.0,96.0,0.439,22025,1610612753,ORL,Orlando Magic,0022500357,2025-12-07,ORL @ NYK,L,240,100,36,94,0.383,12,42,0.286,16,24,0.667,17,31,48,23,7,4,11,16,-6.0
