OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Boston Celtics,22500083,1610612755,Philadelphia,76ers,PHI,sixers,171:51,33,73,0.452,14,35,0.4,21,26,0.808,7,20,27,17,3,4,7,12,101,Starters,585.0,117.0,580.0,116.0,5.0,1.0,0.59,1.64,16.7,0.306,0.706,0.51,14.0,14.0,0.553,0.596,1.0,0.983,20.0,100.0,83.33,100.0,0.511,22025,1610612755,PHI,Philadelphia 76ers,0022500083,2025-10-22,PHI @ BOS,W,240,117,39,85,0.459,16,41,0.39,23,30,0.767,10,30,40,23,3,4,14,23,1.0
Charlotte Hornets,22500102,1610612755,Philadelphia,76ers,PHI,sixers,154:39,28,58,0.483,10,22,0.455,18,22,0.818,3,16,19,22,7,2,9,11,84,Starters,601.0,120.2,587.4,117.5,13.6,2.7,0.707,1.93,19.3,0.327,0.66,0.495,14.423,14.4,0.575,0.618,1.0,0.959,20.7,103.5,86.25,104.0,0.522,22025,1610612755,PHI,Philadelphia 76ers,0022500102,2025-10-25,PHI vs. CHA,W,240,125,41,87,0.471,18,39,0.462,25,32,0.781,11,29,40,29,10,5,15,25,4.0
Orlando Magic,22500114,1610612755,Philadelphia,76ers,PHI,sixers,159:27,38,76,0.5,8,22,0.364,21,24,0.875,10,17,27,20,3,7,3,13,105,Starters,686.9,137.4,632.7,126.5,54.2,10.8,0.521,3.57,17.2,0.404,0.644,0.515,7.071,7.1,0.567,0.612,1.0,0.967,19.7,98.5,82.08,99.0,0.506,22025,1610612755,PHI,Philadelphia 76ers,0022500114,2025-10-27,PHI vs. ORL,W,240,136,48,97,0.495,14,33,0.424,26,32,0.813,14,25,39,25,5,9,6,27,12.0
Washington Wizards,22500123,1610612755,Philadelphia,76ers,PHI,sixers,168:28,30,70,0.429,14,31,0.452,24,29,0.828,7,20,27,20,3,3,10,15,98,Starters,626.1,125.2,598.2,119.6,27.9,5.6,0.578,1.86,16.6,0.356,0.645,0.504,12.613,12.6,0.535,0.598,1.0,0.992,20.2,100.98,84.15,111.0,0.528,22025,1610612755,PHI,Philadelphia 76ers,0022500123,2025-10-28,PHI @ WAS,W,266,139,45,100,0.45,17,42,0.405,32,37,0.865,18,37,55,26,7,11,14,21,5.0
Boston Celtics,22500021,1610612755,Philadelphia,76ers,PHI,sixers,160:27,28,54,0.519,10,22,0.455,16,21,0.762,7,22,29,22,4,4,13,8,82,Starters,556.7,111.3,561.9,112.4,-5.2,-1.0,0.73,1.5,19.9,0.267,0.65,0.486,18.557,18.6,0.558,0.595,1.0,0.982,19.4,97.0,80.83,97.0,0.533,22025,1610612755,PHI,Philadelphia 76ers,0022500021,2025-10-31,PHI vs. BOS,L,240,108,37,78,0.474,13,34,0.382,21,29,0.724,9,31,40,27,6,7,18,13,-1.0
Brooklyn Nets,22500149,1610612755,Philadelphia,76ers,PHI,sixers,137:22,29,58,0.5,9,25,0.36,8,8,1.0,4,14,18,10,6,2,7,14,75,Starters,632.4,126.5,514.7,102.9,117.6,23.5,0.68,2.27,22.2,0.354,0.63,0.5,14.706,14.7,0.599,0.623,1.0,0.983,20.4,102.0,85.0,102.0,0.6,22025,1610612755,PHI,Philadelphia 76ers,0022500149,2025-11-02,PHI @ BKN,W,239,129,50,96,0.521,15,40,0.375,14,17,0.824,12,32,44,34,10,6,15,25,24.0
Chicago Bulls,22500167,1610612755,Philadelphia,76ers,PHI,sixers,153:51,33,73,0.452,11,23,0.478,14,16,0.875,9,19,28,14,8,9,10,12,91,Starters,549.5,109.9,553.9,110.8,-4.4,-0.9,0.55,1.38,15.5,0.339,0.633,0.476,15.842,15.8,0.484,0.531,1.0,0.992,20.3,101.5,84.58,101.0,0.452,22025,1610612755,PHI,Philadelphia 76ers,0022500167,2025-11-04,PHI @ CHI,L,241,111,40,94,0.426,11,30,0.367,20,24,0.833,12,28,40,22,12,11,16,21,-2.0
Cleveland Cavaliers,22500171,1610612755,Philadelphia,76ers,PHI,sixers,138:15,21,53,0.396,6,19,0.316,9,17,0.529,8,13,21,15,6,0,10,9,57,Starters,581.7,116.3,628.6,125.7,-46.8,-9.4,0.591,1.37,17.2,0.412,0.674,0.532,18.269,18.3,0.556,0.586,1.0,0.968,20.9,104.5,87.08,104.0,0.432,22025,1610612755,PHI,Philadelphia 76ers,0022500171,2025-11-05,PHI @ CLE,L,238,121,44,90,0.489,12,31,0.387,21,30,0.7,15,28,43,26,9,2,18,23,-11.0
Toronto Raptors,22500184,1610612755,Philadelphia,76ers,PHI,sixers,177:32,43,80,0.538,6,26,0.231,18,24,0.75,11,27,38,26,4,6,8,16,110,Starters,637.3,127.5,588.2,117.6,49.0,9.8,0.633,2.21,20.1,0.412,0.736,0.577,13.725,13.7,0.563,0.6,1.0,0.976,20.4,102.0,85.0,102.0,0.558,22025,1610612755,PHI,Philadelphia 76ers,0022500184,2025-11-08,PHI vs. TOR,W,241,130,49,96,0.51,10,35,0.286,22,28,0.786,15,39,54,31,4,9,13,22,10.0
Detroit Pistons,22500195,1610612755,Philadelphia,76ers,PHI,sixers,165:32,27,65,0.415,8,25,0.32,19,23,0.826,8,22,30,16,5,3,13,16,81,Starters,545.5,109.1,555.0,111.0,-9.5,-1.9,0.611,1.1,15.7,0.373,0.745,0.551,20.202,20.2,0.5,0.561,1.0,0.983,19.9,99.5,82.92,99.0,0.478,22025,1610612755,PHI,Philadelphia 76ers,0022500195,2025-11-09,PHI vs. DET,L,241,108,36,84,0.429,12,33,0.364,24,28,0.857,12,32,44,22,8,6,19,22,-3.0
