OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Minnesota Timberwolves,0022500089,1610612757,Portland,Trail Blazers,POR,blazers,159:40,22,65,0.338,8,31,0.258,15,18,0.833,6,24,30,18,6,2,11,10,67,Starters,553.4,110.7,561.9,112.4,-8.5,-1.7,0.694,1.56,17.1,0.333,0.694,0.505,15.534,15.5,0.472,0.541,1.0,0.992,20.8,104.0,86.67,103.0,0.489,22025,1610612757,POR,Portland Trail Blazers,0022500089,2025-10-22,POR vs. MIN,L,241,114,36,90,0.4,13,42,0.31,29,35,0.829,7,32,39,25,10,3,15,17,-4.0
Golden State Warriors,0022500097,1610612757,Portland,Trail Blazers,POR,blazers,136:54,32,64,0.5,11,25,0.44,13,13,1.0,9,20,29,22,5,1,10,17,88,Starters,631.8,126.4,536.0,107.2,95.8,19.2,0.6,1.58,19.7,0.295,0.66,0.484,17.273,17.3,0.624,0.668,1.0,0.992,22.1,110.5,92.08,110.0,0.573,22025,1610612757,POR,Portland Trail Blazers,0022500097,2025-10-24,POR vs. GSW,W,241,139,50,93,0.538,16,34,0.471,23,25,0.92,10,28,38,30,13,5,18,28,20.0
Los Angeles Clippers,0022500112,1610612757,Portland,Trail Blazers,POR,blazers,156:26,26,68,0.382,8,30,0.267,17,20,0.85,13,17,30,20,5,1,14,9,77,Starters,524.5,104.9,553.4,110.7,-28.9,-5.8,0.706,1.5,16.2,0.355,0.722,0.49,15.686,15.7,0.429,0.5,1.0,0.992,20.5,102.5,85.42,102.0,0.41,22025,1610612757,POR,Portland Trail Blazers,0022500112,2025-10-26,POR @ LAC,L,239,107,34,92,0.37,11,41,0.268,28,34,0.824,18,24,42,24,12,2,16,21,-7.0
Los Angeles Lakers,0022500122,1610612757,Portland,Trail Blazers,POR,blazers,148:04,34,67,0.507,9,27,0.333,8,8,1.0,13,21,34,17,7,8,14,11,85,Starters,575.5,115.1,500.0,100.0,75.5,15.1,0.511,1.26,15.6,0.429,0.625,0.519,17.925,17.9,0.524,0.557,1.0,0.985,21.4,107.0,89.17,106.0,0.56,22025,1610612757,POR,Portland Trail Blazers,0022500122,2025-10-27,POR @ LAL,W,238,122,47,103,0.456,14,43,0.326,14,15,0.933,19,30,49,24,12,9,18,17,14.0
Utah Jazz,0022500135,1610612757,Portland,Trail Blazers,POR,blazers,152:57,30,62,0.484,10,31,0.323,16,20,0.8,12,17,29,22,6,4,13,19,86,Starters,618.2,123.6,603.6,120.7,14.6,2.9,0.739,1.89,20.7,0.392,0.58,0.485,16.364,16.4,0.589,0.63,1.0,0.962,22.1,110.5,92.08,110.0,0.489,22025,1610612757,POR,Portland Trail Blazers,0022500135,2025-10-29,POR @ UTA,W,240,136,46,96,0.479,21,55,0.382,23,27,0.852,14,25,39,34,14,5,16,33,2.0
Denver Nuggets,0022500026,1610612757,Portland,Trail Blazers,POR,blazers,143:57,25,60,0.417,9,26,0.346,13,19,0.684,10,18,28,22,4,3,8,15,72,Starters,550.5,110.1,545.9,109.2,4.6,0.9,0.684,2.0,17.9,0.368,0.659,0.495,13.131,13.1,0.478,0.521,1.0,0.966,19.7,98.5,82.08,99.0,0.486,22025,1610612757,POR,Portland Trail Blazers,0022500026,2025-10-31,POR vs. DEN,W,238,109,38,91,0.418,11,39,0.282,22,31,0.71,16,27,43,26,11,5,12,24,2.0
Los Angeles Lakers,0022500163,1610612757,Portland,Trail Blazers,POR,blazers,151:28,28,64,0.438,7,34,0.206,17,21,0.81,9,18,27,12,7,2,12,12,80,Starters,569.3,113.9,608.9,121.8,-39.6,-7.9,0.548,1.28,16.3,0.375,0.714,0.518,17.822,17.8,0.547,0.586,1.0,0.983,20.2,101.0,84.17,101.0,0.445,22025,1610612757,POR,Portland Trail Blazers,0022500163,2025-11-03,POR vs. LAL,L,242,115,42,85,0.494,9,40,0.225,22,30,0.733,15,23,38,23,13,3,18,18,-8.0
Oklahoma City Thunder,0022500180,1610612757,Portland,Trail Blazers,POR,blazers,156:45,26,64,0.406,13,29,0.448,24,26,0.923,10,25,35,15,8,5,13,12,89,Starters,560.2,112.0,550.9,110.2,9.3,1.9,0.667,1.33,16.2,0.296,0.732,0.518,16.667,16.7,0.517,0.593,1.0,0.96,21.6,108.0,90.0,108.0,0.509,22025,1610612757,POR,Portland Trail Blazers,0022500180,2025-11-05,POR vs. OKC,W,241,121,36,88,0.409,19,43,0.442,30,32,0.938,11,38,49,24,8,6,15,24,2.0
Miami Heat,0022500187,1610612757,Portland,Trail Blazers,POR,blazers,159:49,38,85,0.447,11,43,0.256,11,14,0.786,16,27,43,23,7,3,15,18,98,Starters,579.6,115.9,601.8,120.4,-22.1,-4.4,0.592,1.45,17.4,0.397,0.712,0.539,17.699,17.7,0.514,0.55,1.0,0.986,22.6,113.0,94.17,113.0,0.416,22025,1610612757,POR,Portland Trail Blazers,0022500187,2025-11-08,POR @ MIA,L,240,131,49,109,0.45,14,51,0.275,19,23,0.826,22,35,57,29,8,4,20,32,-5.0
Orlando Magic,0022500200,1610612757,Portland,Trail Blazers,POR,blazers,162:33,29,64,0.453,9,26,0.346,14,18,0.778,6,23,29,16,3,3,7,13,81,Starters,571.4,114.3,580.8,116.2,-9.4,-1.9,0.55,2.2,16.5,0.236,0.627,0.425,10.204,10.2,0.517,0.552,1.0,0.973,19.7,98.5,82.08,98.0,0.436,22025,1610612757,POR,Portland Trail Blazers,0022500200,2025-11-10,POR @ ORL,L,241,112,40,90,0.444,13,36,0.361,19,26,0.731,11,27,38,22,5,3,8,24,-3.0
