OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Atlanta Hawks,0022500082,1610612761,Toronto,Raptors,TOR,raptors,139:47,37,62,0.597,2,13,0.154,14,17,0.824,7,26,33,27,6,3,15,21,90,Starters,610.6,122.1,522.1,104.4,88.5,17.7,0.667,1.89,22.0,0.333,0.786,0.584,16.814,16.8,0.6,0.64,1.0,0.984,22.6,113.0,94.17,113.0,0.616,22025,1610612761,TOR,Toronto Raptors,0022500082,2025-10-22,TOR @ ATL,W,240,138,54,95,0.568,6,25,0.24,24,29,0.828,12,42,54,36,10,4,19,31,20.0
Milwaukee Bucks,0022500092,1610612761,Toronto,Raptors,TOR,raptors,169:04,34,66,0.515,7,18,0.389,16,26,0.615,7,22,29,18,7,3,12,13,91,Starters,552.4,110.5,586.5,117.3,-34.2,-6.8,0.595,1.56,17.5,0.255,0.627,0.441,15.238,15.2,0.559,0.585,1.0,0.975,20.9,104.5,87.08,105.0,0.482,22025,1610612761,TOR,Toronto Raptors,0022500092,2025-10-24,TOR vs. MIL,L,243,116,42,85,0.494,11,27,0.407,21,32,0.656,10,31,41,25,10,4,16,21,-6.0
Dallas Mavericks,0022500111,1610612761,Toronto,Raptors,TOR,raptors,144:12,37,72,0.514,7,18,0.389,8,12,0.667,11,23,34,21,6,0,11,20,89,Starters,581.1,116.2,637.6,127.5,-56.5,-11.3,0.673,2.06,20.2,0.339,0.714,0.5,14.414,14.4,0.555,0.583,1.0,0.946,22.0,110.0,91.67,111.0,0.437,22025,1610612761,TOR,Toronto Raptors,0022500111,2025-10-26,TOR @ DAL,L,240,129,49,100,0.49,13,33,0.394,18,24,0.75,14,29,43,33,10,1,14,28,-10.0
San Antonio Spurs,0022500118,1610612761,Toronto,Raptors,TOR,raptors,149:38,22,49,0.449,6,18,0.333,14,16,0.875,0,13,13,17,4,2,8,13,64,Starters,525.5,105.1,605.0,121.0,-79.5,-15.9,0.784,1.93,21.8,0.133,0.71,0.368,15.306,15.3,0.544,0.578,1.0,1.0,19.8,99.0,82.5,98.0,0.369,22025,1610612761,TOR,Toronto Raptors,0022500118,2025-10-27,TOR @ SAS,L,240,103,37,79,0.468,12,32,0.375,17,23,0.739,1,19,20,29,9,4,15,23,-18.0
Houston Rockets,0022500131,1610612761,Toronto,Raptors,TOR,raptors,154:56,36,64,0.563,18,30,0.6,8,10,0.8,1,12,13,19,5,2,9,17,98,Starters,599.0,119.8,688.1,137.6,-89.1,-17.8,0.674,2.9,21.3,0.136,0.5,0.305,9.901,9.9,0.629,0.648,1.0,0.972,20.2,101.0,84.17,101.0,0.386,22025,1610612761,TOR,Toronto Raptors,0022500131,2025-10-29,TOR vs. HOU,L,240,121,43,85,0.506,21,40,0.525,14,19,0.737,4,18,22,29,6,2,10,26,-18.0
Cleveland Cavaliers,0022500022,1610612761,Toronto,Raptors,TOR,raptors,152:38,25,58,0.431,4,15,0.267,10,14,0.714,5,21,26,18,7,1,9,10,64,Starters,571.4,114.3,515.3,103.1,56.1,11.2,0.675,1.5,19.4,0.311,0.678,0.519,18.367,18.4,0.567,0.605,1.0,0.964,19.6,98.0,81.67,98.0,0.568,22025,1610612761,TOR,Toronto Raptors,0022500022,2025-10-31,TOR @ CLE,W,240,112,40,82,0.488,13,30,0.433,19,24,0.792,10,38,48,27,9,4,16,18,11.0
Memphis Grizzlies,0022500152,1610612761,Toronto,Raptors,TOR,raptors,163:45,37,72,0.514,8,26,0.308,14,17,0.824,13,25,38,26,4,6,13,14,96,Starters,609.4,121.9,541.7,108.3,67.7,13.5,0.711,2.0,21.9,0.375,0.706,0.545,16.667,16.7,0.567,0.598,1.0,0.965,19.2,96.0,80.0,96.0,0.564,22025,1610612761,TOR,Toronto Raptors,0022500152,2025-11-02,TOR vs. MEM,W,240,117,45,89,0.506,11,37,0.297,16,20,0.8,15,34,49,32,5,7,15,23,13.0
Milwaukee Bucks,0022500165,1610612761,Toronto,Raptors,TOR,raptors,135:49,30,61,0.492,9,22,0.409,13,18,0.722,4,30,34,21,6,6,5,9,82,Starters,640.0,128.0,495.0,99.0,145.0,29.0,0.75,3.3,22.4,0.286,0.764,0.538,10.0,10.0,0.577,0.617,1.0,0.982,20.1,100.5,83.75,100.0,0.641,22025,1610612761,TOR,Toronto Raptors,0022500165,2025-11-04,TOR vs. MIL,W,241,128,44,91,0.484,17,38,0.447,23,29,0.793,10,40,50,33,8,6,9,23,28.0
Atlanta Hawks,0022500030,1610612761,Toronto,Raptors,TOR,raptors,162:30,28,66,0.424,7,23,0.304,20,21,0.952,9,27,36,19,6,4,7,15,83,Starters,539.6,107.9,480.2,96.0,59.4,11.9,0.622,1.77,16.3,0.309,0.587,0.458,12.871,12.9,0.473,0.534,1.0,0.975,20.2,101.0,84.17,101.0,0.565,22025,1610612761,TOR,Toronto Raptors,0022500030,2025-11-07,TOR @ ATL,W,240,109,37,91,0.407,12,38,0.316,23,25,0.92,13,35,48,23,11,6,12,21,12.0
Philadelphia 76ers,0022500184,1610612761,Toronto,Raptors,TOR,raptors,154:25,29,60,0.483,9,22,0.409,16,19,0.842,5,19,24,21,2,2,5,18,83,Starters,588.2,117.6,637.3,127.5,-49.0,-9.8,0.707,2.64,20.0,0.264,0.588,0.423,10.784,10.8,0.544,0.586,1.0,0.966,20.4,102.0,85.0,102.0,0.442,22025,1610612761,TOR,Toronto Raptors,0022500184,2025-11-08,TOR @ PHI,L,240,120,41,90,0.456,16,38,0.421,22,28,0.786,10,28,38,29,7,5,10,25,-10.0
