OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Los Angeles Clippers,22500087,1610612762,Utah,Jazz,UTA,jazz,141:02,28,46,0.609,11,26,0.423,9,12,0.75,6,16,22,26,5,5,5,11,76,Starters,678.9,135.8,568.4,113.7,110.5,22.1,0.792,2.92,25.5,0.39,0.667,0.543,13.684,13.7,0.649,0.673,1.0,0.973,19.0,95.0,79.17,95.0,0.621,22025,1610612762,UTA,Utah Jazz,0022500087,2025-10-22,UTA vs. LAC,W,240,129,48,87,0.552,17,44,0.386,16,20,0.8,13,33,46,38,11,6,12,21,21.0
Sacramento Kings,22500098,1610612762,Utah,Jazz,UTA,jazz,149:23,25,53,0.472,9,28,0.321,14,16,0.875,6,19,25,17,3,1,14,13,73,Starters,525.3,105.1,541.2,108.2,-16.0,-3.2,0.658,1.25,17.7,0.367,0.891,0.621,20.202,20.2,0.517,0.556,1.0,0.966,19.6,98.0,81.67,99.0,0.504,22025,1610612762,UTA,Utah Jazz,0022500098,2025-10-24,UTA @ SAC,L,239,104,38,86,0.442,13,41,0.317,15,17,0.882,11,39,50,25,6,1,19,16,-1.0
Phoenix Suns,22500120,1610612762,Utah,Jazz,UTA,jazz,179:55,36,77,0.468,12,32,0.375,32,33,0.97,18,21,39,21,5,4,11,17,116,Starters,605.3,121.1,587.7,117.5,17.5,3.5,0.614,1.42,15.7,0.508,0.619,0.563,16.667,16.7,0.481,0.557,1.0,0.979,20.65,103.25,86.04,114.0,0.493,22025,1610612762,UTA,Utah Jazz,0022500120,2025-10-27,UTA vs. PHX,W,266,138,44,108,0.407,16,49,0.327,34,36,0.944,28,36,64,27,8,4,18,27,4.0
Portland Trail Blazers,22500135,1610612762,Utah,Jazz,UTA,jazz,140:17,28,54,0.519,9,21,0.429,29,35,0.829,11,14,25,18,7,4,11,11,94,Starters,603.6,120.7,618.2,123.6,-14.6,-2.9,0.732,1.36,18.5,0.42,0.608,0.515,19.82,19.8,0.554,0.635,1.0,0.955,22.1,110.5,92.08,111.0,0.511,22025,1610612762,UTA,Utah Jazz,0022500135,2025-10-29,UTA vs. POR,L,241,134,41,84,0.488,11,35,0.314,41,49,0.837,16,30,46,30,10,7,21,24,-2.0
Phoenix Suns,22500025,1610612762,Utah,Jazz,UTA,jazz,128:41,16,45,0.356,6,21,0.286,18,23,0.783,7,23,30,12,2,2,11,11,56,Starters,475.2,95.0,578.4,115.7,-103.2,-20.6,0.767,1.1,16.4,0.291,0.745,0.509,20.792,20.8,0.45,0.51,1.0,0.983,20.3,101.5,84.58,101.0,0.367,22025,1610612762,UTA,Utah Jazz,0022500025,2025-10-31,UTA @ PHX,L,241,96,30,80,0.375,12,37,0.324,24,32,0.75,12,36,48,23,4,3,21,22,-22.0
Charlotte Hornets,22500150,1610612762,Utah,Jazz,UTA,jazz,142:19,27,64,0.422,7,25,0.28,13,15,0.867,7,20,27,15,3,2,5,10,74,Starters,509.9,102.0,623.8,124.8,-113.9,-22.8,0.75,2.45,19.3,0.245,0.696,0.455,10.891,10.9,0.449,0.511,1.0,0.982,20.2,101.0,84.17,101.0,0.394,22025,1610612762,UTA,Utah Jazz,0022500150,2025-11-02,UTA @ CHA,L,240,103,36,88,0.409,7,32,0.219,24,29,0.828,10,28,38,27,7,3,10,24,-23.0
Boston Celtics,22500158,1610612762,Utah,Jazz,UTA,jazz,149:12,26,62,0.419,5,22,0.227,16,19,0.842,10,24,34,12,1,1,9,8,73,Starters,541.2,108.2,536.5,107.3,4.8,1.0,0.605,1.21,16.4,0.417,0.764,0.602,19.588,19.6,0.506,0.553,1.0,0.966,19.3,96.5,80.42,97.0,0.525,22025,1610612762,UTA,Utah Jazz,0022500158,2025-11-03,UTA @ BOS,W,240,105,38,84,0.452,9,31,0.29,20,25,0.8,15,40,55,23,4,2,18,21,2.0
Detroit Pistons,22500172,1610612762,Utah,Jazz,UTA,jazz,161:01,26,67,0.388,10,31,0.323,16,18,0.889,5,27,32,12,7,1,8,6,78,Starters,509.9,102.0,570.0,114.0,-60.1,-12.0,0.727,1.6,16.9,0.298,0.692,0.486,14.851,14.9,0.453,0.521,1.0,0.966,20.1,100.5,83.75,101.0,0.457,22025,1610612762,UTA,Utah Jazz,0022500172,2025-11-05,UTA @ DET,L,240,103,33,86,0.384,12,39,0.308,25,29,0.862,11,33,44,24,7,2,15,17,-11.0
Minnesota Timberwolves,22500036,1610612762,Utah,Jazz,UTA,jazz,110:37,18,43,0.419,5,16,0.313,8,11,0.727,3,9,12,13,5,1,10,10,49,Starters,457.5,91.5,640.2,128.0,-182.6,-36.5,0.8,1.56,18.4,0.29,0.591,0.415,16.981,17.0,0.42,0.462,1.0,0.984,21.3,106.5,88.75,106.0,0.311,22025,1610612762,UTA,Utah Jazz,0022500036,2025-11-07,UTA @ MIN,L,240,97,35,94,0.372,9,39,0.231,18,25,0.72,16,24,40,28,11,3,17,22,-40.0
Minnesota Timberwolves,22500205,1610612762,Utah,Jazz,UTA,jazz,152:05,25,66,0.379,11,35,0.314,14,18,0.778,13,21,34,16,5,1,8,15,75,Starters,559.4,111.9,582.5,116.5,-23.1,-4.6,0.789,2.0,19.9,0.345,0.75,0.528,14.851,14.9,0.489,0.535,1.0,1.0,20.4,102.0,85.0,101.0,0.45,22025,1610612762,UTA,Utah Jazz,0022500205,2025-11-10,UTA vs. MIN,L,240,113,38,95,0.4,17,52,0.327,20,24,0.833,16,34,50,30,5,5,15,24,-7.0
Indiana Pacers,22500211,1610612762,Utah,Jazz,UTA,jazz,144:54,34,60,0.567,12,23,0.522,16,18,0.889,12,15,27,18,0,2,8,16,96,Starters,737.9,147.6,627.5,125.5,110.4,22.1,0.745,2.53,23.6,0.465,0.636,0.561,14.563,14.6,0.658,0.708,1.0,0.976,20.5,102.5,85.42,103.0,0.585,22025,1610612762,UTA,Utah Jazz,0022500211,2025-11-11,UTA vs. IND,W,241,152,51,92,0.554,19,42,0.452,31,35,0.886,13,32,45,38,3,3,14,27,24.0
Atlanta Hawks,22500227,1610612762,Utah,Jazz,UTA,jazz,157:53,34,68,0.5,14,32,0.438,8,12,0.667,12,17,29,23,9,1,16,11,90,Starters,564.8,113.0,611.1,122.2,-46.3,-9.3,0.867,1.63,23.8,0.34,0.766,0.54,22.222,22.2,0.592,0.603,1.0,0.992,21.6,108.0,90.0,108.0,0.452,22025,1610612762,UTA,Utah Jazz,0022500227,2025-11-13,UTA vs. ATL,L,240,122,45,92,0.489,19,44,0.432,13,21,0.619,14,35,49,39,9,5,24,19,-10.0
Chicago Bulls,22500240,1610612762,Utah,Jazz,UTA,jazz,167:27,33,77,0.429,12,34,0.353,22,25,0.88,6,18,24,16,9,5,6,17,100,Starters,600.0,120.0,583.3,116.7,16.7,3.3,0.592,3.22,17.1,0.232,0.721,0.462,7.2,7.2,0.523,0.581,1.0,0.979,20.77,103.86,86.55,125.0,0.486,22025,1610612762,UTA,Utah Jazz,0022500240,2025-11-16,UTA vs. CHI,W,290,150,49,111,0.441,18,49,0.367,34,41,0.829,12,41,53,29,13,6,9,28,3.0
Los Angeles Lakers,22500253,1610612762,Utah,Jazz,UTA,jazz,144:48,40,68,0.588,12,34,0.353,9,9,1.0,5,18,23,18,7,0,13,17,101,Starters,594.3,118.9,654.2,130.8,-59.9,-12.0,0.688,1.83,21.9,0.273,0.65,0.452,16.981,17.0,0.592,0.631,1.0,0.992,21.3,106.5,88.75,106.0,0.45,22025,1610612762,UTA,Utah Jazz,0022500253,2025-11-18,UTA @ LAL,L,240,126,48,92,0.522,13,45,0.289,17,18,0.944,8,25,33,33,13,2,18,30,-14.0
Oklahoma City Thunder,22500055,1610612762,Utah,Jazz,UTA,jazz,129:43,21,42,0.5,8,18,0.444,17,18,0.944,7,16,23,18,7,0,11,10,67,Starters,538.5,107.7,692.3,138.5,-153.8,-30.8,0.789,1.07,20.1,0.349,0.806,0.557,26.923,26.9,0.582,0.625,1.0,0.975,20.8,104.0,86.67,104.0,0.366,22025,1610612762,UTA,Utah Jazz,0022500055,2025-11-21,UTA vs. OKC,L,240,112,38,79,0.481,16,38,0.421,20,24,0.833,12,27,39,30,10,3,27,25,-32.0
Los Angeles Lakers,22500282,1610612762,Utah,Jazz,UTA,jazz,165:08,32,67,0.478,11,30,0.367,5,9,0.556,5,24,29,20,5,1,7,11,80,Starters,514.6,102.9,529.4,105.9,-14.8,-3.0,0.675,1.93,18.6,0.281,0.796,0.519,13.592,13.6,0.495,0.52,1.0,0.983,20.5,102.5,85.42,103.0,0.472,22025,1610612762,UTA,Utah Jazz,0022500282,2025-11-23,UTA vs. LAL,L,241,106,40,94,0.426,13,40,0.325,13,18,0.722,10,35,45,27,7,2,14,21,-2.0
Golden State Warriors,22500291,1610612762,Utah,Jazz,UTA,jazz,144:09,29,62,0.468,8,25,0.32,10,14,0.714,8,19,27,17,3,2,10,5,76,Starters,551.9,110.4,632.1,126.4,-80.2,-16.0,0.681,2.29,20.5,0.333,0.648,0.491,13.208,13.2,0.53,0.547,1.0,0.976,21.2,106.0,88.33,106.0,0.444,22025,1610612762,UTA,Utah Jazz,0022500291,2025-11-24,UTA @ GSW,L,241,117,47,99,0.475,11,36,0.306,12,18,0.667,14,33,47,32,7,6,14,14,-17.0
Sacramento Kings,22500077,1610612762,Utah,Jazz,UTA,jazz,141:48,29,62,0.468,8,28,0.286,16,19,0.842,5,25,30,21,4,1,8,15,82,Starters,621.4,124.3,577.7,115.5,43.7,8.7,0.762,2.46,21.3,0.306,0.702,0.519,12.621,12.6,0.557,0.612,1.0,0.983,20.6,103.0,85.83,103.0,0.545,22025,1610612762,UTA,Utah Jazz,0022500077,2025-11-28,UTA vs. SAC,W,241,128,42,87,0.483,13,40,0.325,31,40,0.775,13,36,49,32,7,5,12,22,9.0
Houston Rockets,22500301,1610612762,Utah,Jazz,UTA,jazz,125:11,24,46,0.522,7,17,0.412,7,7,1.0,5,13,18,14,1,2,12,11,62,Starters,495.1,99.0,632.4,126.5,-137.3,-27.5,0.821,1.88,22.1,0.24,0.6,0.411,16.667,16.7,0.494,0.534,1.0,0.982,20.4,102.0,85.0,102.0,0.373,22025,1610612762,UTA,Utah Jazz,0022500301,2025-11-30,UTA vs. HOU,L,239,101,39,88,0.443,9,32,0.281,14,15,0.933,9,24,33,32,8,4,17,23,-28.0
Houston Rockets,22500316,1610612762,Utah,Jazz,UTA,jazz,153:06,33,63,0.524,9,22,0.409,23,31,0.742,6,24,30,18,4,3,8,19,98,Starters,615.7,123.1,584.1,116.8,31.6,6.3,0.733,2.54,20.9,0.34,0.695,0.532,12.037,12.0,0.578,0.623,1.0,0.968,21.5,107.5,89.58,108.0,0.545,22025,1610612762,UTA,Utah Jazz,0022500316,2025-12-01,UTA vs. HOU,W,239,133,45,90,0.5,14,35,0.4,29,38,0.763,14,36,50,33,8,4,13,31,8.0
Brooklyn Nets,22500335,1610612762,Utah,Jazz,UTA,jazz,147:26,31,58,0.534,11,17,0.647,16,16,1.0,5,21,26,19,2,0,4,10,89,Starters,621.2,124.2,550.0,110.0,71.2,14.2,0.738,2.38,22.3,0.22,0.64,0.451,13.131,13.1,0.59,0.648,1.0,0.981,19.9,99.5,82.92,99.0,0.578,22025,1610612762,UTA,Utah Jazz,0022500335,2025-12-04,UTA @ BKN,W,240,123,42,83,0.506,14,25,0.56,25,27,0.926,9,30,39,31,7,1,12,23,13.0
New York Knicks,22500343,1610612762,Utah,Jazz,UTA,jazz,126:17,18,51,0.353,6,22,0.273,14,18,0.778,6,17,23,7,3,1,9,6,56,Starters,543.7,108.7,708.7,141.7,-165.0,-33.0,0.657,1.92,16.3,0.268,0.69,0.449,11.65,11.7,0.489,0.547,1.0,0.975,20.6,103.0,85.83,103.0,0.365,22025,1610612762,UTA,Utah Jazz,0022500343,2025-12-05,UTA @ NYK,L,240,112,35,87,0.402,15,42,0.357,27,35,0.771,10,27,37,23,8,1,12,18,-34.0
Oklahoma City Thunder,22500363,1610612762,Utah,Jazz,UTA,jazz,149:24,23,52,0.442,6,20,0.3,3,4,0.75,3,23,26,12,6,2,14,12,55,Starters,500.0,100.0,655.0,131.0,-155.0,-31.0,0.625,1.47,18.4,0.204,0.791,0.478,16.832,16.8,0.541,0.559,1.0,0.964,20.1,100.5,83.75,101.0,0.392,22025,1610612762,UTA,Utah Jazz,0022500363,2025-12-07,UTA vs. OKC,L,239,101,40,85,0.471,12,36,0.333,9,12,0.75,6,31,37,25,6,3,17,17,-30.0
Memphis Grizzlies,22501213,1610612762,Utah,Jazz,UTA,jazz,152:03,33,68,0.485,10,29,0.345,16,20,0.8,9,30,39,20,4,4,11,14,92,Starters,613.2,122.6,588.8,117.8,24.4,4.9,0.688,2.54,20.9,0.317,0.772,0.538,12.264,12.3,0.543,0.565,1.0,1.0,21.3,106.5,88.75,106.0,0.506,22025,1610612762,UTA,Utah Jazz,0022501213,2025-12-12,UTA @ MEM,W,241,130,48,104,0.462,17,47,0.362,17,25,0.68,14,44,58,33,6,4,13,23,4.0
Dallas Mavericks,22501224,1610612762,Utah,Jazz,UTA,jazz,164:07,36,68,0.529,9,25,0.36,25,30,0.833,4,30,34,18,4,3,7,18,106,Starters,608.7,121.7,578.3,115.7,30.4,6.1,0.66,2.54,21.0,0.173,0.678,0.441,11.304,11.3,0.582,0.628,1.0,0.984,20.83,104.15,86.79,115.0,0.54,22025,1610612762,UTA,Utah Jazz,0022501224,2025-12-15,UTA vs. DAL,W,264,140,50,97,0.515,13,36,0.361,27,33,0.818,8,39,47,33,8,4,13,32,7.0
Los Angeles Lakers,22500379,1610612762,Utah,Jazz,UTA,jazz,141:01,27,51,0.529,12,22,0.545,19,31,0.613,9,21,30,15,3,1,10,13,85,Starters,655.3,131.1,694.2,138.8,-38.8,-7.8,0.721,2.38,21.2,0.265,0.673,0.469,12.621,12.6,0.627,0.651,1.0,0.991,20.6,103.0,85.83,103.0,0.441,22025,1610612762,UTA,Utah Jazz,0022500379,2025-12-18,UTA vs. LAL,L,239,135,43,83,0.518,18,37,0.486,31,47,0.66,9,30,39,31,4,1,13,29,-8.0
Orlando Magic,22500393,1610612762,Utah,Jazz,UTA,jazz,149:03,27,64,0.422,9,26,0.346,11,14,0.786,8,15,23,20,4,1,7,14,74,Starters,577.3,115.5,581.8,116.4,-4.5,-0.9,0.773,2.83,20.4,0.375,0.691,0.521,10.909,10.9,0.49,0.537,1.0,0.977,19.92,99.62,83.02,110.0,0.476,22025,1610612762,UTA,Utah Jazz,0022500393,2025-12-20,UTA vs. ORL,L,266,127,44,105,0.419,15,43,0.349,24,30,0.8,18,34,52,34,7,2,12,29,-1.0
Denver Nuggets,22500405,1610612762,Utah,Jazz,UTA,jazz,142:59,29,65,0.446,9,25,0.36,13,16,0.813,7,27,34,14,1,0,9,16,80,Starters,523.4,104.7,636.8,127.4,-113.4,-22.7,0.732,2.14,19.7,0.263,0.78,0.505,13.084,13.1,0.5,0.537,1.0,0.967,21.3,106.5,88.75,107.0,0.4,22025,1610612762,UTA,Utah Jazz,0022500405,2025-12-22,UTA @ DEN,L,241,112,41,96,0.427,14,41,0.341,16,19,0.842,11,38,49,30,5,1,14,19,-23.0
Memphis Grizzlies,22500419,1610612762,Utah,Jazz,UTA,jazz,148:41,26,57,0.456,12,30,0.4,17,21,0.81,9,20,29,14,5,2,7,10,81,Starters,603.8,120.8,646.2,129.2,-42.5,-8.5,0.725,2.23,19.2,0.308,0.738,0.5,12.264,12.3,0.533,0.605,1.0,0.975,21.2,106.0,88.33,106.0,0.441,22025,1610612762,UTA,Utah Jazz,0022500419,2025-12-23,UTA vs. MEM,L,241,128,40,90,0.444,16,45,0.356,32,36,0.889,12,28,40,29,9,2,13,21,-9.0
Detroit Pistons,22500430,1610612762,Utah,Jazz,UTA,jazz,137:57,30,57,0.526,11,20,0.55,15,15,1.0,7,21,28,19,6,4,7,11,86,Starters,623.8,124.8,608.5,121.7,15.3,3.1,0.795,1.94,22.6,0.326,0.646,0.489,17.143,17.1,0.589,0.646,1.0,0.983,21.1,105.5,87.92,105.0,0.511,22025,1610612762,UTA,Utah Jazz,0022500430,2025-12-26,UTA vs. DET,W,239,131,44,90,0.489,18,38,0.474,25,26,0.962,13,29,42,35,12,8,17,20,2.0
San Antonio Spurs,22500440,1610612762,Utah,Jazz,UTA,jazz,142:58,29,53,0.547,14,26,0.538,15,19,0.789,5,17,22,17,5,2,10,12,87,Starters,635.0,127.0,575.8,115.2,59.2,11.8,0.756,2.13,23.3,0.279,0.638,0.485,16.0,16.0,0.645,0.672,1.0,0.973,19.9,99.5,82.92,100.0,0.561,22025,1610612762,UTA,Utah Jazz,0022500440,2025-12-27,UTA @ SAS,W,239,127,45,83,0.542,17,37,0.459,20,26,0.769,7,30,37,34,9,4,15,19,13.0
Boston Celtics,22500459,1610612762,Utah,Jazz,UTA,jazz,167:23,32,64,0.5,12,30,0.4,17,19,0.895,6,25,31,22,3,1,8,5,93,Starters,589.1,117.8,638.6,127.7,-49.5,-9.9,0.756,2.38,21.4,0.271,0.708,0.49,12.871,12.9,0.563,0.607,1.0,0.982,20.2,101.0,84.17,101.0,0.455,22025,1610612762,UTA,Utah Jazz,0022500459,2025-12-30,UTA vs. BOS,L,239,119,41,87,0.471,16,42,0.381,21,25,0.84,9,31,40,31,4,3,13,17,-10.0
Los Angeles Clippers,22500475,1610612762,Utah,Jazz,UTA,jazz,137:11,19,48,0.396,3,19,0.158,9,13,0.692,2,17,19,15,3,2,16,14,50,Starters,515.3,103.1,602.0,120.4,-86.7,-17.3,0.556,1.11,15.4,0.261,0.627,0.454,18.367,18.4,0.5,0.554,1.0,0.973,19.6,98.0,81.67,98.0,0.424,22025,1610612762,UTA,Utah Jazz,0022500475,2026-01-01,UTA @ LAC,L,241,101,36,78,0.462,6,27,0.222,23,30,0.767,7,28,35,20,7,5,18,21,-17.0
Golden State Warriors,22500492,1610612762,Utah,Jazz,UTA,jazz,156:29,33,65,0.508,11,29,0.379,7,9,0.778,6,17,23,19,3,0,13,10,84,Starters,593.8,118.8,627.6,125.5,-33.8,-6.8,0.711,2.13,23.0,0.244,0.583,0.419,15.625,15.6,0.599,0.61,1.0,1.0,19.4,97.0,80.83,96.0,0.453,22025,1610612762,UTA,Utah Jazz,0022500492,2026-01-03,UTA @ GSW,L,239,114,45,86,0.523,13,35,0.371,11,17,0.647,10,27,37,32,7,2,15,20,-9.0
Portland Trail Blazers,22500509,1610612762,Utah,Jazz,UTA,jazz,138:02,28,61,0.459,10,21,0.476,8,8,1.0,11,15,26,17,7,1,13,12,74,Starters,579.2,115.8,678.2,135.6,-99.0,-19.8,0.711,2.13,21.6,0.32,0.667,0.484,14.851,14.9,0.56,0.588,1.0,0.983,20.2,101.0,84.17,101.0,0.439,22025,1610612762,UTA,Utah Jazz,0022500509,2026-01-05,UTA @ POR,L,241,117,45,92,0.489,13,31,0.419,14,17,0.824,14,28,42,32,11,2,15,19,-20.0
Oklahoma City Thunder,22500525,1610612762,Utah,Jazz,UTA,jazz,178:07,35,77,0.455,5,27,0.185,15,18,0.833,14,33,47,23,5,1,13,17,90,Starters,534.2,106.8,546.6,109.3,-12.4,-2.5,0.673,1.65,18.8,0.4,0.766,0.581,17.094,17.1,0.491,0.52,1.0,0.972,21.28,106.42,88.68,117.0,0.464,22025,1610612762,UTA,Utah Jazz,0022500525,2026-01-07,UTA @ OKC,L,266,125,49,111,0.441,11,41,0.268,16,21,0.762,19,46,65,33,8,5,20,31,-4.0
Dallas Mavericks,22500531,1610612762,Utah,Jazz,UTA,jazz,152:37,35,66,0.53,6,25,0.24,8,12,0.667,7,21,28,20,6,2,3,7,84,Starters,568.6,113.7,558.8,111.8,9.8,2.0,0.681,3.56,22.2,0.216,0.744,0.457,8.824,8.8,0.563,0.573,1.0,0.982,20.4,102.0,85.0,102.0,0.521,22025,1610612762,UTA,Utah Jazz,0022500531,2026-01-08,UTA vs. DAL,W,240,116,47,95,0.495,13,41,0.317,9,14,0.643,10,32,42,32,11,3,9,11,2.0
Charlotte Hornets,22500547,1610612762,Utah,Jazz,UTA,jazz,129:54,19,43,0.442,4,20,0.2,12,15,0.8,6,10,16,6,1,1,10,7,54,Starters,465.7,93.1,742.6,148.5,-276.9,-55.4,0.611,1.47,16.3,0.211,0.5,0.349,14.706,14.7,0.449,0.488,1.0,0.982,20.3,101.5,84.58,102.0,0.252,22025,1610612762,UTA,Utah Jazz,0022500547,2026-01-10,UTA vs. CHA,L,239,95,36,88,0.409,7,31,0.226,16,21,0.762,11,20,31,22,6,2,15,21,-55.0
Cleveland Cavaliers,22500558,1610612762,Utah,Jazz,UTA,jazz,147:33,27,55,0.491,13,28,0.464,23,26,0.885,5,33,38,19,5,3,11,7,90,Starters,591.3,118.3,538.5,107.7,52.9,10.6,0.8,1.68,21.5,0.311,0.843,0.594,18.269,18.3,0.59,0.645,1.0,0.957,20.8,104.0,86.67,104.0,0.565,22025,1610612762,UTA,Utah Jazz,0022500558,2026-01-12,UTA @ CLE,W,240,123,40,83,0.482,18,41,0.439,25,28,0.893,8,42,50,32,7,4,16,14,11.0
