OPPONENT,gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,startersBench,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Milwaukee Bucks,0022500086,1610612764,Washington,Wizards,WAS,wizards,144:15,29,62,0.468,9,21,0.429,7,14,0.5,5,32,37,15,2,2,6,13,74,Starters,560.7,112.1,621.5,124.3,-60.7,-12.1,0.5,1.77,16.0,0.276,0.846,0.545,12.15,12.1,0.556,0.564,1.0,0.983,21.4,107.0,89.17,107.0,0.441,22025,1610612764,WAS,Washington Wizards,0022500086,2025-10-22,WAS @ MIL,L,241,120,46,98,0.469,17,42,0.405,11,19,0.579,13,43,56,23,5,4,13,19,-13.0
Dallas Mavericks,0022500096,1610612764,Washington,Wizards,WAS,wizards,150:30,23,53,0.434,10,20,0.5,14,19,0.737,6,23,29,19,9,6,13,15,70,Starters,536.7,107.3,495.4,99.1,41.3,8.3,0.659,1.59,18.2,0.226,0.774,0.5,15.596,15.6,0.539,0.569,1.0,0.959,21.7,108.5,90.42,109.0,0.531,22025,1610612764,WAS,Washington Wizards,0022500096,2025-10-24,WAS @ DAL,W,239,117,41,90,0.456,15,36,0.417,20,29,0.69,10,38,48,27,11,8,15,24,10.0
Charlotte Hornets,0022500109,1610612764,Washington,Wizards,WAS,wizards,126:10,26,55,0.473,5,20,0.25,11,13,0.846,4,20,24,21,3,3,9,15,68,Starters,523.1,104.6,637.6,127.5,-114.5,-22.9,0.61,1.67,17.6,0.189,0.708,0.436,13.889,13.9,0.505,0.554,1.0,1.0,21.7,108.5,90.42,108.0,0.362,22025,1610612764,WAS,Washington Wizards,0022500109,2025-10-26,WAS vs. CHA,L,240,113,41,91,0.451,10,34,0.294,21,25,0.84,7,33,40,25,5,4,15,27,-26.0
Philadelphia 76ers,0022500123,1610612764,Washington,Wizards,WAS,wizards,182:15,32,71,0.451,12,26,0.462,12,14,0.857,9,27,36,27,6,4,11,21,88,Starters,598.2,119.6,626.1,125.2,-27.9,-5.6,0.647,2.06,19.8,0.355,0.644,0.496,14.286,14.3,0.556,0.576,1.0,0.97,20.2,100.98,84.15,112.0,0.472,22025,1610612764,WAS,Washington Wizards,0022500123,2025-10-28,WAS vs. PHI,L,266,134,51,107,0.477,17,43,0.395,15,21,0.714,13,37,50,33,10,5,15,30,-5.0
Oklahoma City Thunder,0022500140,1610612764,Washington,Wizards,WAS,wizards,124:31,24,47,0.511,12,24,0.5,7,7,1.0,6,20,26,15,2,6,15,13,67,Starters,534.7,106.9,622.5,124.5,-87.9,-17.6,0.658,1.09,18.0,0.277,0.679,0.495,22.772,22.8,0.554,0.59,1.0,0.982,20.3,101.5,84.58,101.0,0.385,22025,1610612764,WAS,Washington Wizards,0022500140,2025-10-30,WAS @ OKC,L,242,108,38,84,0.452,17,40,0.425,15,17,0.882,12,37,49,25,3,6,22,26,-19.0
Orlando Magic,0022500145,1610612764,Washington,Wizards,WAS,wizards,121:35,22,46,0.478,6,10,0.6,6,12,0.5,5,16,21,10,3,6,10,13,56,Starters,435.2,87.0,584.1,116.8,-148.9,-29.8,0.487,1.12,13.1,0.277,0.717,0.459,15.741,15.7,0.444,0.449,1.0,0.968,21.5,107.5,89.58,108.0,0.267,22025,1610612764,WAS,Washington Wizards,0022500145,2025-11-01,WAS vs. ORL,L,240,94,39,98,0.398,9,27,0.333,7,15,0.467,11,29,40,19,7,9,17,23,-31.0
New York Knicks,0022500159,1610612764,Washington,Wizards,WAS,wizards,126:58,22,50,0.44,7,22,0.318,7,8,0.875,5,17,22,14,6,3,10,10,58,Starters,500.0,100.0,583.3,116.7,-83.3,-16.7,0.789,1.5,21.4,0.17,0.75,0.475,19.608,19.6,0.549,0.571,1.0,0.982,20.4,102.0,85.0,102.0,0.422,22025,1610612764,WAS,Washington Wizards,0022500159,2025-11-03,WAS @ NYK,L,238,102,38,81,0.469,13,35,0.371,13,19,0.684,7,37,44,30,7,5,20,21,-17.0
Boston Celtics,0022500174,1610612764,Washington,Wizards,WAS,wizards,110:33,20,48,0.417,6,17,0.353,10,15,0.667,7,12,19,12,1,3,8,12,56,Starters,535.0,107.0,693.9,138.8,-158.9,-31.8,0.641,1.32,17.9,0.319,0.705,0.505,19.0,19.0,0.544,0.582,1.0,0.948,19.8,99.0,82.5,100.0,0.388,22025,1610612764,WAS,Washington Wizards,0022500174,2025-11-05,WAS @ BOS,L,240,107,39,80,0.488,9,27,0.333,20,27,0.741,11,29,40,25,2,5,19,18,-29.0
Cleveland Cavaliers,0022500029,1610612764,Washington,Wizards,WAS,wizards,137:07,29,59,0.492,11,29,0.379,5,9,0.556,2,13,15,23,2,5,12,12,74,Starters,552.9,110.6,704.8,141.0,-151.9,-30.4,0.78,1.6,20.6,0.377,0.492,0.439,19.231,19.2,0.533,0.569,1.0,0.992,20.9,104.5,87.08,104.0,0.378,22025,1610612764,WAS,Washington Wizards,0022500029,2025-11-07,WAS vs. CLE,L,240,115,41,91,0.451,15,41,0.366,18,23,0.783,16,28,44,32,5,7,20,24,-33.0
Dallas Mavericks,0022500183,1610612764,Washington,Wizards,WAS,wizards,130:48,22,57,0.386,5,21,0.238,12,14,0.857,7,21,28,10,7,5,10,15,61,Starters,509.7,101.9,538.8,107.8,-29.1,-5.8,0.459,0.94,12.6,0.302,0.655,0.481,17.476,17.5,0.478,0.53,1.0,0.992,20.6,103.0,85.83,103.0,0.415,22025,1610612764,WAS,Washington Wizards,0022500183,2025-11-08,WAS vs. DAL,L,240,105,37,89,0.416,11,35,0.314,20,23,0.87,12,32,44,17,7,7,18,21,-6.0
