PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN
A.J. Lawson,1610612761,TOR,13,8.4
AJ Green,1610612749,MIL,49,30.2
AJ Johnson,1610612742,DAL,28,8.0
Aaron Gordon,1610612743,DEN,23,27.9
Aaron Holiday,1610612745,HOU,35,13.3
Aaron Nesmith,1610612754,IND,32,30.5
Aaron Wiggins,1610612760,OKC,41,23.8
Ace Bailey,1610612762,UTA,49,26.3
Adem Bona,1610612755,PHI,45,16.3
Adou Thiero,1610612747,LAL,17,5.8
Ajay Mitchell,1610612760,OKC,43,26.2
Al Horford,1610612744,GSW,34,20.6
Alex Caruso,1610612760,OKC,37,18.4
Alex Sarr,1610612764,WAS,41,28.2
Alijah Martin,1610612761,TOR,13,7.4
Alperen Sengun,1610612745,HOU,46,33.9
Amari Williams,1610612738,BOS,14,8.0
Amen Thompson,1610612745,HOU,52,37.3
Amir Coffey,1610612756,PHX,32,9.3
Andre Drummond,1610612755,PHI,40,19.8
Andre Jackson Jr.,1610612749,MIL,26,6.5
Andrew Nembhard,1610612754,IND,43,32.1
Andrew Wiggins,1610612748,MIA,50,31.3
Anfernee Simons,1610612741,CHI,53,25.1
Anthony Black,1610612753,ORL,53,31.1
Anthony Davis,1610612764,WAS,20,31.3
Anthony Edwards,1610612750,MIN,46,35.5
Anthony Gill,1610612764,WAS,28,8.1
Antonio Reeves,1610612766,CHA,7,7.9
Ariel Hukporti,1610612752,NYK,39,9.3
Asa Newell,1610612737,ATL,39,11.3
Ausar Thompson,1610612765,DET,49,25.7
Austin Reaves,1610612747,LAL,28,33.5
Ayo Dosunmu,1610612750,MIN,48,26.5
Bam Adebayo,1610612748,MIA,48,31.4
Baylor Scheierman,1610612738,BOS,49,14.4
Ben Saraf,1610612751,BKN,22,17.4
Ben Sheppard,1610612754,IND,44,21.4
Bennedict Mathurin,1610612746,LAC,30,31.6
Bilal Coulibaly,1610612764,WAS,33,26.8
Bismack Biyombo,1610612759,SAS,14,5.6
Blake Hinson,1610612762,UTA,1,24.8
Blake Wesley,1610612757,POR,13,15.4
Bobby Portis,1610612749,MIL,51,24.3
Bobi Klintman,1610612765,DET,9,7.1
Bogdan Bogdanović,1610612746,LAC,17,21.9
Bones Hyland,1610612750,MIN,47,14.8
Bradley Beal,1610612746,LAC,6,20.2
Branden Carlson,1610612760,OKC,34,11.0
Brandin Podziemski,1610612744,GSW,55,26.9
Brandon Clarke,1610612763,MEM,2,10.2
Brandon Ingram,1610612761,TOR,53,34.0
Brandon Miller,1610612766,CHA,38,30.5
Brandon Williams,1610612742,DAL,46,22.0
Brice Sensabaugh,1610612762,UTA,53,21.9
Bronny James,1610612747,LAL,29,7.3
Brook Lopez,1610612746,LAC,47,18.6
Brooks Barnhizer,1610612760,OKC,29,7.6
Bruce Brown,1610612743,DEN,55,24.9
Bryce McGowens,1610612740,NOP,32,19.9
Bub Carrington,1610612764,WAS,53,28.0
Buddy Boeheim,1610612760,OKC,2,6.2
Buddy Hield,1610612737,ATL,45,17.2
CJ McCollum,1610612737,ATL,51,30.1
Cade Cunningham,1610612765,DET,47,34.9
Caleb Houstan,1610612737,ATL,10,4.9
Caleb Love,1610612757,POR,45,22.2
Caleb Martin,1610612742,DAL,46,14.0
Cam Christie,1610612746,LAC,38,10.0
Cam Spencer,1610612763,MEM,51,24.1
Cam Thomas,1610612749,MIL,27,23.7
Cam Whitmore,1610612764,WAS,21,16.9
Cameron Johnson,1610612743,DEN,31,30.4
Caris LeVert,1610612765,DET,36,19.6
Carter Bryant,1610612759,SAS,43,9.3
Cason Wallace,1610612760,OKC,53,26.8
Cedric Coward,1610612763,MEM,48,26.3
Charles Bassey,1610612755,PHI,3,11.7
Chaz Lanier,1610612765,DET,20,8.5
Chet Holmgren,1610612760,OKC,49,29.2
Chris Boucher,1610612738,BOS,9,10.5
Chris Livingston,1610612739,CLE,3,5.8
Chris Mañon,1610612747,LAL,5,4.3
Chris Paul,1610612761,TOR,16,14.2
Chris Youngblood,1610612760,OKC,32,5.4
Christian Braun,1610612743,DEN,19,30.3
Christian Koloko,1610612737,ATL,20,15.3
Chucky Hepburn,1610612761,TOR,2,6.6
Clint Capela,1610612745,HOU,47,11.8
Coby White,1610612766,CHA,29,29.1
Cody Martin,1610612754,IND,4,13.8
Cody Williams,1610612762,UTA,42,19.5
Colby Jones,1610612765,DET,1,6.8
Cole Anthony,1610612756,PHX,35,15.0
Collin Gillespie,1610612756,PHX,54,28.3
Collin Murray-Boyles,1610612761,TOR,43,22.2
Collin Sexton,1610612741,CHI,45,22.9
Cooper Flagg,1610612742,DAL,49,34.1
Corey Kispert,1610612737,ATL,35,20.4
Craig Porter Jr.,1610612739,CLE,49,17.9
Curtis Jones,1610612743,DEN,6,5.1
D'Angelo Russell,1610612764,WAS,26,19.0
DaRon Holmes II,1610612743,DEN,15,11.7
Daeqwon Plowden,1610612758,SAC,7,22.9
Dalano Banton,1610612746,LAC,2,4.8
Dalen Terry,1610612755,PHI,35,11.0
Dalton Knecht,1610612747,LAL,43,11.4
Daniel Gafford,1610612742,DAL,38,21.4
Daniss Jenkins,1610612765,DET,44,16.9
Danny Wolf,1610612751,BKN,39,20.2
Dario Saric,1610612758,SAC,5,8.2
Darius Garland,1610612746,LAC,26,30.5
David Jones Garcia,1610612759,SAS,11,6.2
Davion Mitchell,1610612748,MIA,46,28.9
Day'Ron Sharpe,1610612751,BKN,51,18.5
De'Aaron Fox,1610612759,SAS,45,32.0
De'Andre Hunter,1610612758,SAC,45,26.1
De'Anthony Melton,1610612744,GSW,28,21.8
DeAndre Jordan,1610612740,NOP,2,11.7
DeMar DeRozan,1610612758,SAC,56,32.4
Dean Wade,1610612739,CLE,43,22.8
Deandre Ayton,1610612747,LAL,46,28.2
Deni Avdija,1610612757,POR,46,34.3
Dennis Schröder,1610612739,CLE,44,25.8
Dereck Lively II,1610612742,DAL,7,16.5
Derik Queen,1610612740,NOP,55,26.0
Derrick Jones Jr.,1610612746,LAC,22,24.8
Derrick White,1610612738,BOS,52,34.2
Desmond Bane,1610612753,ORL,53,34.0
Devin Booker,1610612756,PHX,43,33.9
Devin Carter,1610612758,SAC,20,13.4
Devin Vassell,1610612759,SAS,41,30.8
Dillon Brooks,1610612756,PHX,49,31.1
Dillon Jones,1610612752,NYK,4,5.3
Domantas Sabonis,1610612758,SAC,19,29.7
Dominick Barlow,1610612755,PHI,43,24.0
Donovan Clingan,1610612757,POR,52,27.6
Donovan Mitchell,1610612739,CLE,51,33.7
Donte DiVincenzo,1610612750,MIN,56,31.2
